Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
11.5,0.1214,143.1048152119603,61130.0,0.0,0.00016309416473001272,0.0,0.0,0.03277746004158413,0.0,0.003337556253755629,0.0,6.192075918667411e-5,0.0,0.0,0.08505996878074353
12.5,0.1174,141.83627387343444,58360.0,0.0,0.00015770093437792883,0.0,0.0,0.031693568458748385,0.0,0.0032271892782152114,0.0,5.9863600806355546e-5,0.0,0.0,0.08226167772785213
13.5,0.1134,140.52094214996097,55670.0,0.0,0.00015231459694843176,0.0,0.0,0.030611062164558812,0.0,0.0031169633593270915,0.0,5.7809687883257606e-5,0.0,0.0,0.07946185019128242
14.5,0.1097,139.19010394864395,53080.0,0.0,0.00014733266387072404,0.0,0.0,0.029609830068642127,0.0,0.0030150131643166154,0.0,5.590982426026731e-5,0.0,0.0,0.07687191427891027
15.5,0.106,137.97563967738373,50570.0,0.0,0.00014234131674103798,0.0,0.0,0.028614255579049962,0.0,0.0029128703203042247,0.0,5.4006920953308e-5,0.0,0.0,0.07427652586295147
16.5,0.1023,136.7691959597323,48150.0,0.0,0.00013734964706997208,0.0,0.0,0.027619384132412005,0.0,0.002810720875810442,0.0,5.2104419395021e-5,0.0,0.0,0.07168044092531256
17.5,0.09872,135.49103801394162,45810.0,0.0,0.0001325256782309271,0.0,0.0,0.026650502773644513,0.0,0.002712003258332653,0.0,5.025922222584636e-5,0.0,0.0,0.06917470906756605
18.5,0.0949,134.19041498259074,43560.0,0.0,0.00012738147043293258,0.0,0.0,0.02561601854372972,0.0,0.002606732276165775,0.0,4.829250785643195e-5,0.0,0.0,0.06650157520181514
19.5,0.09155,133.01141730178668,41660.0,0.0,0.00012287123833372494,0.0,0.0,0.024709024860133814,0.0,0.002514434962074134,0.0,4.6569196585403827e-5,0.0,0.0,0.06415709974287293
20.5,0.08825,131.81843704259092,39830.0,0.0,0.00011842902997783537,0.0,0.0,0.023815710540297234,0.0,0.0024235296847257503,0.0,4.487257334359928e-5,0.0,0.0,0.06184745817165557
21.5,0.08509,130.56584325314597,38070.0,0.0,0.00011417816782379686,0.0,0.0,0.02296087534806242,0.0,0.0023365401128452945,0.0,4.324954831307429e-5,0.0,0.0,0.059635156822955414
22.5,0.08205,129.27517971822007,36390.0,0.0,0.00011009097623194288,0.0,0.0,0.022138953798147263,0.0,0.0022528998926064437,0.0,4.168960205461106e-5,0.0,0.0,0.05750636573095975
23.5,0.07913,127.97522181707481,34790.0,0.0,0.0001061645326776228,0.0,0.0,0.02134935817991072,0.0,0.002172549217513726,0.0,4.019148240637657e-5,0.0,0.0,0.05546173658749155
