Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
54.5,0.0,0.0,0.0,0.01489,111.1,0.001489,0.0,0.0,0.0,0.013401000000000001
55.5,0.0,0.0,0.0,0.01402,111.4,0.001402,0.0,0.0,0.0,0.012617999999999999
56.5,0.0,0.0,0.0,0.01318,111.8,0.0013180000000000002,0.0,0.0,0.0,0.011862000000000001
57.5,0.0,0.0,0.0,0.0121,115.0,0.0012100000000000001,0.0,0.0,0.0,0.01089
58.5,0.0,0.0,0.0,0.0112,117.7,0.0011200000000000001,0.0,0.0,0.0,0.01008
59.5,0.0,0.0,0.0,0.01029,121.3,0.0010290000000000002,0.0,0.0,0.0,0.009261
60.5,0.0,0.0,0.0,0.009602,123.3,0.0009602,0.0,0.0,0.0,0.0086418
61.5,0.0,0.0,0.0,0.008991,125.0,0.0008991000000000001,0.0,0.0,0.0,0.0080919
62.5,0.0,0.0,0.0,0.008408,127.0,0.0008408000000000001,0.0,0.0,0.0,0.0075672000000000005
63.5,0.0,0.0,0.0,0.007897,128.5,0.0007897,0.0,0.0,0.0,0.0071072999999999996
64.5,0.0,0.0,0.0,0.007635,126.4,0.0007635000000000001,0.0,0.0,0.0,0.0068715
65.5,0.0,0.0,0.0,0.007264,126.2,0.0007264,0.0,0.0,0.0,0.0065376
66.5,0.0,0.0,0.0,0.006892,126.4,0.0006892000000000001,0.0,0.0,0.0,0.0062028
67.5,0.0,0.0,0.0,0.006399,129.5,0.0006399000000000001,0.0,0.0,0.0,0.0057591000000000005
68.5,0.0,0.0,0.0,0.006019,131.0,0.0006019,0.0,0.0,0.0,0.0054171
69.5,0.0,0.0,0.0,0.005593,134.2,0.0005593,0.0,0.0,0.0,0.0050337
70.5,0.0,0.0,0.0,0.005345,133.9,0.0005345,0.0,0.0,0.0,0.0048105
71.5,0.0,0.0,0.0,0.005118,133.2,0.0005118000000000001,0.0,0.0,0.0,0.0046062
72.5,0.0,0.0,0.0,0.0049,132.6,0.00049,0.0,0.0,0.0,0.00441
73.5,0.0,0.0,0.0,0.004668,132.6,0.00046680000000000007,0.0,0.0,0.0,0.0042012
74.5,0.0,0.0,0.0,0.00444,132.8,0.00044400000000000006,0.0,0.0,0.0,0.003996
75.5,0.0,0.0,0.0,0.004219,133.1,0.0004219,0.0,0.0,0.0,0.0037971
76.5,0.0,0.0,0.0,0.003924,136.4,0.00039240000000000005,0.0,0.0,0.0,0.0035316000000000006
77.5,0.0,0.0,0.0,0.003662,139.5,0.0003662,0.0,0.0,0.0,0.0032957999999999998
78.5,0.0,0.0,0.0,0.003467,140.7,0.0003467,0.0,0.0,0.0,0.0031203
