Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
23.5,0.07913,127.97522181707481,34790.0,0.0,0.00011688876596056525,0.0,0.0,0.021344837791015012,0.0,0.0022798329013802555,0.0,4.0172841956514424e-5,0.0,0.0,0.055348267699687655
24.5,0.07624,126.43223789776036,33040.0,0.0,0.00011256325550749053,0.0,0.0,0.02056279164553412,0.0,0.002196302890502615,0.0,3.8688736341428735e-5,0.0,0.0,0.05332965347211435
25.5,0.07256,124.81396187331151,31310.0,0.0,0.0001070734740957604,0.0,0.0,0.01956867873091027,0.0,0.0020900136129918022,0.0,3.6804335724955765e-5,0.0,0.0,0.05075742984627721
26.5,0.07079,123.13432135907591,29660.0,0.0,0.00010440361655051595,0.0,0.0,0.0190940072287162,0.0,0.002038695192835234,0.0,3.588901023743992e-5,0.0,0.0,0.049517004951660615
27.5,0.06895,121.41014377691934,28050.0,0.0,0.00010163205151836884,0.0,0.0,0.01859941753525696,0.0,0.0019853309836966103,0.0,3.493768287384089e-5,0.0,0.0,0.04822868174665422
28.5,0.06702,119.67876726859026,26490.0,0.0,9.873098372984403e-5,0.0,0.0,0.018075778515528742,0.0,0.001929209221272255,0.0,3.393704760947658e-5,0.0,0.0,0.04688234423185968
29.5,0.06268,117.94049522014875,24990.0,0.0,9.22834594116852e-5,0.0,0.0,0.01690337060963208,0.0,0.0018037885837259696,0.0,3.171766377191641e-5,0.0,0.0,0.043848839683458346
30.5,0.05911,116.28758099267955,23570.0,0.0,8.697472007602455e-5,0.0,0.0,0.015942220294029,0.0,0.0017006971047152748,0.0,2.98901557601791e-5,0.0,0.0,0.041350217725419525
31.5,0.05476,114.71741496249328,22260.0,0.0,8.052867201731679e-5,0.0,0.0,0.014769930070679737,0.0,0.0015752238975015199,0.0,2.7671370501888836e-5,0.0,0.0,0.038306645989299545
32.5,0.05199,113.31104689442287,21010.0,0.0,7.641990833958694e-5,0.0,0.0,0.014021718259458854,0.0,0.0014952584408269526,0.0,2.6252848682157678e-5,0.0,0.0,0.03637035054269245
33.5,0.05034,111.95468878821926,19830.0,0.0,7.395713766896357e-5,0.0,0.0,0.013575754265974516,0.0,0.0014474947240416282,0.0,2.5401149844543908e-5,0.0,0.0,0.035217392722470355
