Altitude (km),Total (kg/m3),Neutral Temp. (K),CO2 (kg/m3),N2 (kg/m3),Ar (kg/m3),O2 (kg/m3)
31.5,0.05476,112.9,0.05240532,0.001111628,0.001133532,0.0001095200000000001
32.5,0.05199,112.3,0.04975443,0.001055397,0.001076193,0.0001039800000000001
33.5,0.05034,109.4,0.048175380000000004,0.0010219019999999999,0.0010420380000000001,0.0001006800000000001
34.5,0.04802,108.2,0.04595514,0.0009748059999999999,0.000994014,9.604000000000009e-5
35.5,0.04508,108.7,0.04314156,0.000915124,0.000933156,9.016000000000009e-5
36.5,0.04165,110.9,0.03985905,0.0008454949999999999,0.000862155,8.330000000000007e-5
37.5,0.03784,115.1,0.036212879999999996,0.0007681519999999999,0.0007832879999999999,7.568000000000006e-5
38.5,0.03541,116.1,0.03388736999999999,0.0007188229999999998,0.0007329869999999999,7.082000000000006e-5
39.5,0.03404,114.1,0.03257628,0.000691012,0.000704628,6.808000000000007e-5
40.5,0.03273,112.0,0.03132261,0.000664419,0.000677511,6.546000000000007e-5
41.5,0.03023,114.6,0.02893011,0.000613669,0.000625761,6.0460000000000055e-5
42.5,0.02859,114.5,0.02736063,0.000580377,0.0005918130000000001,5.718000000000005e-5
43.5,0.02763,111.8,0.02644191,0.000560889,0.000571941,5.5260000000000044e-5
44.5,0.02491,117.2,0.02383887,0.000505673,0.000515637,4.982000000000005e-5
45.5,0.02473,111.5,0.023666609999999998,0.0005020189999999999,0.000511911,4.946000000000004e-5
46.5,0.02302,113.2,0.022030139999999997,0.00046730599999999996,0.000476514,4.604000000000004e-5
47.5,0.0218,113.0,0.0208626,0.00044253999999999995,0.00045126,4.3600000000000037e-5
48.5,0.02065,112.8,0.01976205,0.00041919500000000003,0.00042745500000000003,4.130000000000004e-5
49.5,0.0193,114.0,0.0184701,0.00039179,0.00039951,3.860000000000004e-5
50.5,0.01817,114.4,0.01738869,0.00036885099999999996,0.00037611899999999995,3.634000000000003e-5
51.5,0.01744,112.6,0.01669008,0.000354032,0.000361008,3.488000000000003e-5
52.5,0.01628,113.9,0.015579959999999999,0.000330484,0.000336996,3.256000000000003e-5
53.5,0.01537,114.0,0.01470909,0.000312011,0.000318159,3.074000000000003e-5
54.5,0.01489,111.1,0.01424973,0.000302267,0.000308223,2.9780000000000027e-5
