Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
10.5,0.1256,144.37799210289373,64000.0,0.0,0.0001508850399409088,0.0,0.0,0.033938063688547404,0.0,0.0032827054130842247,0.0,6.412114841008849e-5,0.0,0.0,0.08816422471001739
11.5,0.1214,143.1048152119603,61130.0,0.0,0.0001458219718147226,0.0,0.0,0.03279924483285929,0.0,0.003172551608895587,0.0,6.195971379133902e-5,0.0,0.0,0.08522042187263906
12.5,0.1174,141.83627387343444,58360.0,0.0,0.0001409998794556967,0.0,0.0,0.031714627844609364,0.0,0.00306764055412458,0.0,5.9901245506983336e-5,0.0,0.0,0.08241683047630338
13.5,0.1134,140.52094214996097,55670.0,0.0,0.00013618395795023217,0.0,0.0,0.030631398845660823,0.0,0.0029628637545083382,0.0,5.784602849664077e-5,0.0,0.0,0.07961170741338397
14.5,0.1097,139.19010394864395,53080.0,0.0,0.00013172961466028412,0.0,0.0,0.029629498416538662,0.0,0.0028659535715281404,0.0,5.594495870686145e-5,0.0,0.0,0.07701687343856606
15.5,0.106,137.97563967738373,50570.0,0.0,0.00012727134526709796,0.0,0.0,0.028626714902242553,0.0,0.002768957970932273,0.0,5.403520111279195e-5,0.0,0.0,0.07442302058044528
16.5,0.1023,136.7691959597323,48150.0,0.0,0.00012281324383281775,0.0,0.0,0.027623969166377292,0.0,0.00267196602450656,0.0,5.212527643986294e-5,0.0,0.0,0.07182912628884348
17.5,0.09872,135.49103801394162,45810.0,0.0,0.00011850056752045574,0.0,0.0,0.026660967151791348,0.0,0.0025781379956906127,0.0,5.028551067033132e-5,0.0,0.0,0.06931210877432725
18.5,0.0949,134.19041498259074,43560.0,0.0,0.00011390083385989836,0.0,0.0,0.025634022972580404,0.0,0.002478064651161753,0.0,4.832570145436531e-5,0.0,0.0,0.06662568584094357
19.5,0.09155,133.01141730178668,41660.0,0.0,0.00010986790987010913,0.0,0.0,0.02472751102675896,0.0,0.0023903230074771103,0.0,4.6602312633505156e-5,0.0,0.0,0.06427569574326032
20.5,0.08825,131.81843704259092,39830.0,0.0,0.00010589579941331601,0.0,0.0,0.023833524736895272,0.0,0.0023039044433637306,0.0,4.490446753267401e-5,0.0,0.0,0.061961770552795004
21.5,0.08509,130.56584325314597,38070.0,0.0,0.00010209478941778105,0.0,0.0,0.02297804731233581,0.0,0.002221208398133425,0.0,4.32802754774032e-5,0.0,0.0,0.05974536922463559
22.5,0.08205,129.27517971822007,36390.0,0.0,9.844013210630017e-5,0.0,0.0,0.022155508874355977,0.0,0.0021416964508650634,0.0,4.171920909490226e-5,0.0,0.0,0.05761263533357775
23.5,0.07913,127.97522181707481,34790.0,0.0,9.492921067082153e-5,0.0,0.0,0.02136532046891056,0.0,0.0020653116694071215,0.0,4.0220013724944166e-5,0.0,0.0,0.05556421863728657
24.5,0.07624,126.43223789776036,33040.0,0.0,9.145104938133647e-5,0.0,0.0,0.020582505252526917,0.0,0.0019896396286465255,0.0,3.873411033095883e-5,0.0,0.0,0.05353766995911428
25.5,0.07256,124.81396187331151,31310.0,0.0,8.702583065769579e-5,0.0,0.0,0.019586539779860586,0.0,0.0018933630894756041,0.0,3.684770065681903e-5,0.0,0.0,0.050956223599349294
26.5,0.07079,123.13432135907591,29660.0,0.0,8.489236509808353e-5,0.0,0.0,0.019106369608125347,0.0,0.0018469466989314478,0.0,3.593270658004491e-5,0.0,0.0,0.04971585862126508
27.5,0.06895,121.41014377691934,28050.0,0.0,8.266840646368282e-5,0.0,0.0,0.01860737934231243,0.0,0.0017986716913412145,0.0,3.4981636675953145e-5,0.0,0.0,0.04842629892320672
28.5,0.06702,119.67876726859026,26490.0,0.0,8.030452197437543e-5,0.0,0.0,0.0180842833260065,0.0,0.001747878529612644,0.0,3.398115607658382e-5,0.0,0.0,0.04707355246632989
29.5,0.06268,117.94049522014875,24990.0,0.0,7.505646829999724e-5,0.0,0.0,0.01691206322789023,0.0,0.0016342555161410898,0.0,3.1760244588009704e-5,0.0,0.0,0.04402686454308068
30.5,0.05911,116.28758099267955,23570.0,0.0,7.073537226470794e-5,0.0,0.0,0.015951147329246927,0.0,0.0015407244666201573,0.0,2.9931603348117756e-5,0.0,0.0,0.0415174612285201
31.5,0.05476,114.71741496249328,22260.0,0.0,6.54887405156098e-5,0.0,0.0,0.014778604560071691,0.0,0.0014269454421195896,0.0,2.7710458831082084e-5,0.0,0.0,0.038461250798462035
32.5,0.05199,113.31104689442287,21010.0,0.0,6.213922297513083e-5,0.0,0.0,0.014029377008650465,0.0,0.0013544352884107607,0.0,2.6288825688344357e-5,0.0,0.0,0.036517759654275304
33.5,0.05034,111.95468878821926,19830.0,0.0,6.0132284463994874e-5,0.0,0.0,0.013582681702542435,0.0,0.0013111250281852133,0.0,2.5435018790383962e-5,0.0,0.0,0.03536062596601798
34.5,0.04802,110.89377020601877,18700.0,0.0,5.733204166567678e-5,0.0,0.0,0.01295627185009846,0.0,0.0012503484768949674,0.0,2.4242709880321012e-5,0.0,0.0,0.03373180492146058
