Altitude (km),Total (kg/m3),Neutral Temp. (K),H2 (kg/m3),He (kg/m3),H2O (kg/m3),CH4 (kg/m3),NH3 (kg/m3),H2S (kg/m3),N2 (kg/m3)
12.5,0.1174,140.4,0.0781020376967882,0.03019994210441664,0.005050797661570047,0.0030351543006261698,0.0006020859814559362,0.0002598481039821429,0.0001501341511608539
13.5,0.1134,138.7,0.07544098019434226,0.02917098325929171,0.004878709155213316,0.002931741888339077,0.0005815719786806061,0.00025099467624850944,0.00014501884788450454
14.5,0.1097,136.8,0.07297950200457977,0.028219196327551155,0.00471952728683334,0.0028360854069735164,0.0005625965261134259,0.00024280525559489845,0.00014028719235388137
15.5,0.106,134.8,0.07051802381481728,0.027267409395810592,0.004560345418453364,0.0027404289256079553,0.0005436210735462456,0.00023461583494128747,0.0001355555368232582
16.5,0.1023,132.9,0.0680565456250548,0.026315622464070036,0.004401163550073388,0.002644772444242395,0.0005246456209790654,0.0002264264142876765,0.00013082388129263505
17.5,0.09872,131.1,0.06567489916036567,0.025394704297683226,0.004247144336884115,0.002552218335245447,0.000506285588495145,0.00021850259646607453,0.00012624568486030235
18.5,0.0949,129.7,0.06313358924552981,0.024412048600588918,0.004082799813313436,0.0024534594815112734,0.0004866947158447048,0.00021004757298045452,0.00012136057023138871
19.5,0.09155,128.1,0.060904953587231345,0.023550295567796795,0.003938675689239675,0.0023668515862208337,0.0004695142385203659,0.00020263282725353651,0.00011707650373744613
20.5,0.08825,126.6,0.05870958114771344,0.022701404520568725,0.0037967026714953713,0.0022815363460839816,0.0004525901862307186,0.00019532874937328886,0.00011285637853445788
21.5,0.08509,125.2,0.05660734572078115,0.021888527032920033,0.0036607527514735546,0.0021998405403771785,0.0004363841240382079,0.00018833454146371842,0.00010881528894614188
22.5,0.08205,123.7,0.05458494201892224,0.021106518310625086,0.003529965486642439,0.002121247107038988,0.00042079348192895706,0.00018160593638615695,0.00010492765845611637
23.5,0.07913,122.2,0.05264237004213671,0.02035537835368389,0.0034043408770020257,0.0020457560460694106,0.0004058182599029662,0.0001751429341406045,0.00010119348706438135
24.5,0.07624,120.4,0.05071975599661952,0.01961195558808113,0.003280006931159288,0.0019710405781919863,0.0003909968928977902,0.0001687463326030543,9.749768044721892e-5
25.5,0.07256,119.9,0.04827158309436926,0.018665313450566195,0.0031216855053110954,0.001875901158887861,0.0003721240103444866,0.0001606011790881115,9.27916014329775e-5
26.5,0.07079,116.4,0.04709406514953694,0.018209999161598416,0.0030455363412482425,0.0018301411664508225,0.0003630465641164031,0.0001566835373159787,9.05280797331929e-5
27.5,0.06895,113.0,0.045869978698411806,0.017736678092840946,0.002966375628324146,0.0017825714567987598,0.00035361012283975125,0.00015261096055850726,8.817504022607219e-5
28.5,0.06702,109.8,0.04458601845348164,0.017240205450068168,0.0028833429240070233,0.0017326749678702375,0.0003437121165006545,0.0001483391816770291,8.570690639523362e-5
29.5,0.06268,110.8,0.041698771063327804,0.01612378510310762,0.0026966268946099704,0.001620472500538742,0.00032145442348942147,0.0001387332125860368,8.015680234039456e-5
30.5,0.05911,110.8,0.03932377724239481,0.015205439333833625,0.0025430379026865884,0.0015281769225725119,0.00030314567601243944,0.0001308315283337689,7.559139416625275e-5
31.5,0.05476,112.9,0.036429877208484854,0.014086446589760266,0.002355891652023644,0.0014157159242102987,0.00028083669799426804,0.00012120342567344248,7.002850185322283e-5
32.5,0.05199,112.3,0.03458709488804104,0.013373892589511252,0.0022367203613716078,0.001344102828701487,0.00026663075107235195,0.00011507242696790129,6.648615433435088e-5
33.5,0.05034,109.4,0.033489408668282095,0.012949447065897221,0.0021657338524994564,0.0013014452086330612,0.00025816872492752835,0.00011142038802777747,6.437609173285678e-5
34.5,0.04802,108.2,0.03194599531686345,0.012352650935724761,0.0020659225188125524,0.0012414660095065473,0.0002462706033178369,0.00010628539994227005,6.140921583257414e-5
35.5,0.04508,108.7,0.02999011805256569,0.01159636618455794,0.0019394374666403555,0.0011654578864755344,0.00023119281127796936,9.977813055804943e-5,5.7649467924457356e-5
36.5,0.04165,110.9,0.0277082612442183,0.010714033974863313,0.0017918715724394587,0.0010767817429393524,0.00021360205389812386,9.21863162764587e-5,5.326309536498777e-5
37.5,0.03784,115.1,0.025173603973138545,0.009733950674881819,0.0016279572701346726,0.0009782814202358965,0.00019406246625462201,8.37534263601728e-5,4.8390768994265004e-5
38.5,0.03541,116.1,0.02355701154040264,0.009108858176468426,0.0015234135025229587,0.0009154583797714878,0.00018160020956860902,7.837496901199046e-5,4.528322225388276e-5
39.5,0.03404,114.1,0.022645599345814907,0.008756439772013139,0.0014644731890957785,0.0008800396285631585,0.00017457416361805849,7.5342670013221e-5,4.3531230881733105e-5
40.5,0.03273,112.0,0.021774103013763865,0.008419455750234724,0.0014081142032639493,0.0008461720635391358,0.00016785582770913792,7.244317243045603e-5,4.185596905872869e-5
41.5,0.03023,114.6,0.020110942074735155,0.007776356472031644,0.0013005588867909925,0.0007815393058597028,0.00015503457597455664,6.69097800969351e-5,3.8658904511010336e-5
42.5,0.02859,114.5,0.01901990849873232,0.007354483345530424,0.0012300025991847329,0.0007391402168219948,0.00014662383483667133,6.327987472614537e-5,3.65616301677071e-5
43.5,0.02763,111.8,0.018381254698145295,0.007107533222700441,0.0011887013576591175,0.0007143212378730925,0.00014170047417059212,6.115505207007333e-5,3.5333957381383245e-5
44.5,0.02491,117.2,0.016571735596482062,0.00640784120801549,0.0010716811733365408,0.0006440007975178696,0.0001277509522833677,5.513472121120256e-5,3.185555115346568e-5
45.5,0.02473,111.5,0.016451988008871994,0.006361538059984868,0.0010639371905504878,0.0006393472389649503,0.00012682782215847786,5.4736316963189045e-5,3.162536250602995e-5
46.5,0.02302,113.2,0.015314385926576355,0.005921658153693961,0.0009903693540829852,0.0005951384327122182,0.00011805808597202427,5.095147660706073e-5,2.94385703553906e-5
47.5,0.0218,113.0,0.014502763388330345,0.005607825705930858,0.0009378823596441825,0.000563597646964655,0.00011180131512554862,4.825118114830252e-5,2.7878402856104046e-5
48.5,0.02065,112.8,0.01373770935637714,0.005312000037957442,0.0008884069140666224,0.0005338665784321159,0.00010590353932764125,4.570582067488289e-5,2.6407753164153606e-5
49.5,0.0193,114.0,0.012839602449301638,0.004964726427727779,0.0008303270431712259,0.0004989648892852221,9.898006339096737e-5,4.271778881478159e-5,2.4681338308385693e-5
50.5,0.01817,114.4,0.012087853704860659,0.004674045553979985,0.0007817120401254492,0.0004697508828141184,9.318485760693662e-5,4.021669548003012e-5,2.3236265132816993e-5
51.5,0.01744,112.6,0.011602210710664277,0.0044862605647446865,0.000750305887715346,0.00045087811757172405,8.94410521004389e-5,3.860094491864201e-5,2.2302722284883238e-5
52.5,0.01628,113.9,0.010830504034954955,0.0041878624996584575,0.000700400220871894,0.00042088851800846713,8.349199129559318e-5,3.60334508758883e-5,2.081928433474192e-5
53.5,0.01537,114.0,0.010225113453148506,0.003953774362392536,0.0006612500856757378,0.00039736219421315354,7.88250556642056e-5,3.401929606648668e-5,1.965555283937244e-5
54.5,0.01489,111.1,0.009905786552854994,0.003830299300977545,0.0006405994649129301,0.00038495270473870244,7.636337533116601e-5,3.295688473845067e-5,1.9041716446210514e-5
55.5,0.01402,111.4,0.009327006546073002,0.0036065007521628727,0.0006031702147803412,0.00036246050506625975,7.190157972753173e-5,3.103126420638538e-5,1.7929137983604527e-5
56.5,0.01318,111.8,0.008768184470559357,0.0033904193946866384,0.0005670316284454278,0.00034074389848597037,6.759363914471243e-5,2.917204438232235e-5,1.6854924295571164e-5
57.5,0.0121,115.0,0.008049698944898953,0.0031126005065029074,0.0005205677317291105,0.0003128225471684553,6.205485839537332e-5,2.6781618894241306e-5,1.547379241095683e-5
58.5,0.0112,117.7,0.007450961006848618,0.0028810847663497986,0.00048184781779884604,0.00028955475440385945,5.7439207770924065e-5,2.478959765417377e-5,1.4322849173778225e-5
59.5,0.01029,121.3,0.006845570425042169,0.0026469966290838774,0.00044269768260268985,0.0002660284306085459,5.277227213953649e-5,2.2775442844772152e-5,1.3159117678408744e-5
60.5,0.009602,123.3,0.0063878685346214666,0.0024700157077223897,0.0004130984595093321,0.0002482414956951659,4.924386366217971e-5,2.125265327458719e-5,1.2279285514876653e-5
61.5,0.008991,125.0,0.005981392001122851,0.002312842244129557,0.0003868119401633415,0.00023244524971831256,4.6110349738248064e-5,1.9900292188274677e-5,1.1497922939414288e-5
62.5,0.008408,127.0,0.005593542870141356,0.002162871492452599,0.000361730040361848,0.0002173728906274688,4.312043383374371e-5,1.8609905096097595e-5,1.0752367486886368e-5
63.5,0.007897,128.5,0.005253592774203887,0.002031421999987889,0.00033974573367477563,0.00020416195495779268,4.049976997919529e-5,1.7478879703125914e-5,1.0098887493332736e-5
64.5,0.007635,126.4,0.005079293507793679,0.0019640251956322065,0.0003284739365084098,0.00019738844195298812,3.9156102797411184e-5,1.6898980186572922e-5,9.763835128731853e-6
65.5,0.007264,126.2,0.004832480424441818,0.0018685892627468693,0.000312512727543823,0.00018779694071336027,3.725342903999932e-5,1.6077824764278417e-5,9.289390749850449e-6
66.5,0.006892,126.4,0.004585002076714346,0.001772896090150251,0.000296508496452647,0.00017817958637066065,3.534562678189363e-5,1.5254455985050501e-5,8.813667545149957e-6
67.5,0.006399,129.5,0.004257026739537885,0.0016460769124886038,0.00027529858804418,0.0001654340065562765,3.28172759398342e-5,1.4163271016880175e-5,8.183206416339898e-6
68.5,0.006019,131.0,0.004004226276805521,0.0015483258222017354,0.00025895017994029057,0.00015560982738900268,3.086844567617785e-5,1.3322195382184993e-5,7.697252605086709e-6
69.5,0.005593,134.2,0.003720823652795029,0.0014387417051959306,0.00024062275401329873,0.00014459640548042732,2.8683704380605204e-5,1.2379305328553027e-5,7.152472806155501e-6
70.5,0.005345,133.9,0.003555838087643381,0.001374946256798185,0.00022995326661918143,0.00013818483591862757,2.741183620853474e-5,1.183039280906775e-5,6.83532400302184e-6
71.5,0.005118,133.2,0.003404823074379574,0.0013165528423373456,0.000220187243883437,0.00013231618152133507,2.6247666551034763e-5,1.132796078518405e-5,6.545030542089014e-6
72.5,0.0049,132.6,0.0032597954404962703,0.001260474585278037,0.00021080842028699514,0.00012668020505168852,2.5129653399779276e-5,1.0845448973701025e-5,6.266246513527973e-6
73.5,0.004668,132.6,0.0031054541053544063,0.0012007949722607912,0.00020082728691830478,0.00012068228513903715,2.3939841238810138e-5,1.0331950165150283e-5,5.96955892349971e-6
74.5,0.00444,132.8,0.0029537738277149884,0.0011421443180886703,0.00019101824205597113,0.00011478777763867287,2.2770543080616326e-5,9.827304784333174e-6,5.677986636747797e-6
75.5,0.004219,133.1,0.0028067504007048497,0.0010852943418955179,0.00018151035207976174,0.00010907424185981098,2.163714442727934e-5,9.338152902049923e-6,5.395366130729493e-6
76.5,0.003924,136.4,0.0026104974098994627,0.0010094086270675546,0.00016881882473595287,0.00010144757645363791,2.0124236722598754e-5,8.685212606694454e-6,5.018112514098728e-6
77.5,0.003662,139.5,0.0024361981434892536,0.0009420118227118716,0.00015754702756958698,9.467406344883333e-5,1.8780569540814636e-5,8.105313090141459e-6,4.683060149497845e-6
78.5,0.003467,140.7,0.0023064715902450144,0.0008918500790120314,0.00014915771288469637,8.963270834983757e-5,1.7780511905517296e-5,7.673708488126826e-6,4.433689114775813e-6
79.5,0.003263,142.8,0.0021707576576202713,0.0008393731779106601,0.00014038119906050308,8.435867532319584e-5,1.6734297763975466e-5,7.222183673711519e-6,4.172808647681995e-6
80.5,0.003068,145.2,0.002041031104376032,0.0007892114342108198,0.00013199188437561246,7.931732022420008e-5,1.5734240128678127e-5,6.790579071696886e-6,3.923437612959964e-6
81.5,0.002888,147.6,0.001921283516765965,0.000742908286180198,0.0001242479015895596,7.46637616712809e-5,1.4811110003788275e-5,6.39217482368338e-6,3.6932489655242424e-6
82.5,0.002741,149.0,0.001823489653551077,0.0007050940486218569,0.00011792364898094973,7.086335551973025e-5,1.4057220401794898e-5,6.066811354472348e-6,3.5052615701184028e-6
83.5,0.00258,151.6,0.001716382089077628,0.0006636784551055786,0.00011099708660009131,6.670100592517476e-5,1.3231531790087864e-5,5.710460888193601e-6,3.2993706132453407e-6
84.5,0.002449,153.1,0.0016292324558725235,0.0006299800529277372,0.00010536118801690838,6.331424942277247e-5,1.2559698199195805e-5,5.420511129917104e-6,3.131844430944899e-6
85.5,0.002332,154.1,0.00155139652392598,0.000599883006707833,0.00010032759920597401,6.028943636337502e-5,1.1959663618017402e-5,5.161548368708324e-6,2.98222181011168e-6
86.5,0.002221,155.3,0.0014775521782331054,0.0005713293987556163,9.555214315457474e-5,5.74197419224082e-5,1.1390400041001994e-5,4.915865749099995e-6,2.8402721441929853e-6
87.5,0.002113,156.6,0.0014057036256670651,0.0005435475099372433,9.0905753482943e-5,5.46276067906567e-5,1.0836521966068084e-5,4.67682320029189e-6,2.7021589557315523e-6
88.5,0.002017,157.5,0.0013418382456083628,0.0005188524976542451,8.677562933038148e-5,5.214570889576648e-5,1.0344185899460164e-5,4.4643409346846875e-6,2.579391677099168e-6
89.5,0.001929,158.1,0.0012832949805545522,0.0004962154030614966,8.29896821905334e-5,4.987063582545044e-5,9.892877838402903e-6,4.26956552454475e-6,2.4668550050194815e-6
90.5,0.001846,158.5,0.0012280780373787991,0.0004748645070251543,7.941884568363123e-5,4.772482827049327e-5,9.467212280814804e-6,4.085856899071855e-6,2.3607124620352326e-6
91.5,0.001764,159.3,0.0011735263585786573,0.00045377085070009326,7.589103130331825e-5,4.5604873818607864e-5,9.04667522392054e-6,3.904361630532369e-6,2.2558487448700704e-6
92.5,0.001689,159.8,0.001123631530407796,0.0004344778723540009,7.266437180912955e-5,4.366589108822488e-5,8.662037671883102e-6,3.7383598605267407e-6,2.15993680843852e-6
93.5,0.00162,160.0,0.0010777282884906036,0.00041672833227559587,6.969584507447595e-5,4.1882026976272524e-5,8.30817112400866e-6,3.585638232121563e-6,2.071697826921493e-6
94.5,0.001553,160.3,0.0010331555753246343,0.0003994932716197533,6.681336259300071e-5,4.0149869070463724e-5,7.964561577521881e-6,3.437343317583202e-6,1.986016497042641e-6
95.5,0.001489,160.6,0.0009905786552854995,0.0003830299300977545,6.405994649129302e-5,3.8495270473870246e-5,7.6363375331166e-6,3.2956884738450666e-6,1.9041716446210515e-6
96.5,0.001435,160.1,0.0009546543790024792,0.00036913898568856796,6.173675165547715e-5,3.7099202907994496e-5,7.359398495649646e-6,3.1761671994410144e-6,1.8351150503903352e-6
97.5,0.001383,159.6,0.000920060631470682,0.0003557625207019439,5.949960107283965e-5,3.5754841548262286e-5,7.092716459570355e-6,3.061072638903779e-6,1.7686161077977932e-6
98.5,0.001333,159.1,0.0008867974126901078,0.0003429005351378823,5.7348494743380514e-5,3.446218639467363e-5,6.83629142487873e-6,2.9504047922333603e-6,1.7046748168434262e-6
99.5,0.001284,158.5,0.0008541994582851451,0.0003302957892851019,5.524041054051056e-5,3.3195384344156744e-5,6.5849948908809375e-6,2.8419503024963503e-6,1.6420123517081466e-6
100.5,0.001241,157.4,0.0008255930901338513,0.00031923448170000893,5.3390459097175703e-5,3.2083700912070494e-5,6.364469361046139e-6,2.74677595435979e-6,1.5870228414873908e-6
101.5,0.0012,156.4,0.0007983172507337804,0.0003086876535374784,5.1626551907019215e-5,3.10237236861278e-5,6.154200832599006e-6,2.6560283200900467e-6,1.5345909829048097e-6
102.5,0.001159,155.2,0.0007710414113337098,0.00029814082537494793,4.986264471686273e-5,2.99637464601851e-5,5.943932304151874e-6,2.565280685820304e-6,1.4821591243222288e-6
103.5,0.001121,154.1,0.0007457613650604733,0.0002883657163462611,4.822780390647379e-5,2.898132854345772e-5,5.749049277786239e-6,2.4811731223507853e-6,1.43356374319691e-6
104.5,0.00108,153.4,0.0007184855256604025,0.0002778188881837306,4.6463896716317295e-5,2.792135131751502e-5,5.538780749339106e-6,2.390425488081042e-6,1.381131884614329e-6
105.5,0.001039,152.9,0.0006912096862603317,0.00026727206002120007,4.4699989526160806e-5,2.686137409157232e-5,5.328512220891973e-6,2.299677853811299e-6,1.3287000260317478e-6
106.5,0.0009972,152.6,0.0006634016353597716,0.00025651944008964455,4.2901664634732966e-5,2.57807143831722e-5,5.114140891889774e-6,2.2071595339948286e-6,1.275245106793897e-6
107.5,0.0009541,152.9,0.0006347287407709167,0.00024543240853342347,4.10474109787392e-5,2.466644564077878e-5,4.893102511985594e-6,2.111763850164928e-6,1.2201277139912325e-6
108.5,0.0009128,153.2,0.0006072533220581623,0.00023480840845750857,3.927059715060595e-5,2.3598712483914545e-5,4.681295433330311e-6,2.020352208815162e-6,1.1673122076629252e-6
109.5,0.0008769,152.9,0.0005833703309737101,0.00022557350282251235,3.7726102806054296e-5,2.267058608363789e-5,4.497182258421724e-6,1.9408926949058017e-6,1.1214023607576899e-6
110.5,0.0008429,152.5,0.0005607513422029197,0.0002168273526389505,3.626335050202209e-5,2.1791580579197604e-5,4.3228132348314195e-6,1.8656385591699171e-6,1.0779222829087203e-6
111.5,0.0008108,151.9,0.000539396355745791,0.0002085699579068229,3.488234023850932e-5,2.096169597059368e-5,4.158188362559395e-6,1.7945898016075082e-6,1.0368719741160164e-6
112.5,0.0007809,151.2,0.0005195049509150076,0.00020087849053951408,3.359597865349276e-5,2.0188688188747664e-5,4.0048461918138036e-6,1.7284104292985978e-6,9.986350821253048e-7
113.5,0.0007521,150.4,0.0005003453368973969,0.00019346998685461461,3.23569414077243e-5,1.94441188202806e-5,3.8571453718314275e-6,1.664665749616437e-6,9.618048985355895e-7
114.5,0.0007217,150.2,0.00048012129987880784,0.00018564989963166517,3.104906875941314e-5,1.8658184486898695e-5,3.7012389507389196e-6,1.5973796988408225e-6,9.229285936353344e-7
115.5,0.0006915,150.1,0.000460030315735341,0.00017788126035097194,2.9749800536419824e-5,1.7877420774131143e-5,3.5463582297851776e-6,1.5305363194518895e-6,8.843080538988966e-7
116.5,0.0006626,150.1,0.0004408041752801691,0.00017044703269494433,2.8506461077992445e-5,1.7130266095356897e-5,3.398144559733418e-6,1.4665703040763875e-6,8.473499877272724e-7
117.5,0.0006352,150.0,0.00042257593138841454,0.00016339866460583858,2.7327654809448842e-5,1.6421891071190315e-5,3.257623640722408e-6,1.4059243241009982e-6,8.123101602842793e-7
118.5,0.000609,149.9,0.00040514600474739356,0.0001566589841702703,2.6200475092812252e-5,1.5744539770709856e-5,3.1232569225439955e-6,1.3479343724456986e-6,7.788049238241909e-7
119.5,0.0005836,149.8,0.00038824828960686193,0.000150125095503727,2.5107713077447013e-5,1.5087870952686819e-5,2.9929930049206503e-6,1.2917151063371261e-6,7.463227480193725e-7
120.5,0.0005584,150.0,0.00037148362734145253,0.00014364265477943996,2.4023555487399612e-5,1.4436372755278137e-5,2.863754787436071e-6,1.2359385116152351e-6,7.140963373783715e-7
121.5,0.0005343,150.2,0.0003554507558892158,0.00013744317773756228,2.298672223660031e-5,1.3813312971248403e-5,2.740157920714708e-6,1.1825966095200935e-6,6.832766351383666e-7
122.5,0.0005105,150.6,0.00033961746374966244,0.00013132087260906894,2.1962795623777758e-5,1.31980091181402e-5,2.618099604201494e-6,1.129918714504974e-6,6.528405806440878e-7
123.5,0.0004861,151.6,0.0003233850129847423,0.0001250442236538069,2.09130557350017e-5,1.2567193403188936e-5,2.492964187271981e-6,1.0759128053298098e-6,6.216372306583567e-7
124.5,0.0004628,152.6,0.0003078843530329947,0.00011905053838095418,1.9910640185473746e-5,1.1964816101616621e-5,2.3734701211056836e-6,1.0243415887813946e-6,5.918405890736216e-7
125.5,0.000441,153.5,0.0002933815896446643,0.00011344271267502331,1.8972757825829563e-5,1.1401218454651966e-5,2.261668805980135e-6,9.760904076330922e-7,5.639621862175176e-7
126.5,0.0004208,154.3,0.0002799432492573124,0.00010824647050714242,1.810371086872807e-5,1.0878985772602147e-5,2.158073091964718e-6,9.31380597578243e-7,5.381299046719533e-7
127.5,0.0004016,155.0,0.00026717017324557186,0.00010330746805054277,1.7277686038215766e-5,1.0382606193624104e-5,2.0596058786431344e-6,8.888841444568024e-7,5.135764489454763e-7
128.5,0.0003837,155.6,0.0002552619409221263,9.870287721860872e-5,1.6507589972269395e-5,9.919835648639364e-6,1.9678057162235324e-6,8.492650553487925e-7,4.90685466783813e-7
129.5,0.0003677,155.8,0.0002446177109123426,9.458704183810901e-5,1.5819235946842473e-5,9.506185999490993e-6,1.8857497051222122e-6,8.138513444142585e-7,4.702242536784155e-7
130.5,0.0003524,156.0,0.00023443916596548687,9.065127425550616e-5,1.5160997410027977e-5,9.110633522492864e-6,1.807283644506575e-6,7.799869833331105e-7,4.5065821864637913e-7
131.5,0.0003377,156.2,0.0002246597796439981,8.686985049967206e-5,1.4528572149166993e-5,8.730592907337799e-6,1.7318946843072374e-6,7.474506364120074e-7,4.3185947910579523e-7
132.5,0.0003235,156.6,0.000215213025510315,8.321704659947856e-5,1.3917657951600597e-5,8.36347884371862e-6,1.6590699744548157e-6,7.160209679576085e-7,4.1370015247475495e-7
133.5,0.0003098,156.9,0.00020609890356443767,7.969286255492567e-5,1.3328254817328794e-5,8.009291331635327e-6,1.5888095149493102e-6,6.856979779699137e-7,3.961802387532584e-7
134.5,0.0002967,157.3,0.00019738394024392724,7.632302233714154e-5,1.2764664959010503e-5,7.670615681395099e-6,1.5216261558601044e-6,6.567030021422641e-7,3.794276205232142e-7
