Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
198km-199km,34.4679,34.4679,0
199km-200km,38.7483,38.7483,0
200km-201km,34.0518,34.0518,0
201km-202km,33.3405,33.3405,0
202km-203km,27.7022,27.7022,0
203km-204km,28.476,28.476,0
204km-205km,31.6389,31.6389,0
205km-206km,29.9018,29.9018,0.02
206km-207km,27.8737,27.8737,0
207km-208km,28.0822,28.0822,0
208km-209km,25.9874,25.9874,0
209km-210km,25.2666,25.2666,0
210km-211km,21.6522,21.6522,0
211km-212km,23.3813,23.3813,0
212km-213km,26.6088,26.6088,0
213km-214km,23.4781,23.4781,0
214km-215km,24.0442,24.0442,0
215km-216km,18.4165,18.4165,0
216km-217km,19.1027,19.1027,0
217km-218km,17.8582,17.8582,0
218km-219km,17.0692,17.0692,0
219km-220km,19.604,19.604,0
220km-221km,16.3423,16.3423,0
221km-222km,14.8463,14.8463,0
222km-223km,15.601,15.601,0
223km-224km,15.3413,15.3413,0
224km-225km,13.9015,13.9015,0
225km-226km,13.5705,13.5705,0
226km-227km,13.4892,13.4892,0
227km-228km,13.5632,13.5632,0
228km-229km,10.5534,10.5534,0
229km-230km,12.3963,12.3963,0
230km-231km,12.3043,12.3043,0
231km-232km,11.3999,11.3999,0
232km-233km,9.89225,9.89225,0
233km-234km,11.908,11.908,0
234km-235km,11.3397,11.3397,0
235km-236km,9.97251,9.97251,0
236km-237km,8.16993,8.16993,0
237km-238km,9.01499,9.01499,0
238km-239km,9.32567,9.32567,0
239km-240km,7.87385,7.87385,0
240km-241km,9.35963,9.35963,0
241km-242km,7.3458,7.3458,0
242km-243km,7.0409,7.0409,0
243km-244km,6.76014,6.76014,0
244km-245km,9.69142,9.69142,0.02
245km-246km,9.36146,9.36146,0
246km-247km,7.67638,7.67638,0
247km-248km,5.61543,5.61543,0
248km-249km,5.11153,5.11153,0
249km-250km,6.94624,6.94624,0
250km-251km,6.72383,6.72383,0
251km-252km,5.91013,5.91013,0
252km-253km,5.33834,5.33834,0
253km-254km,5.1653,5.1653,0
254km-255km,4.965,4.965,0
255km-256km,4.1096,4.1096,0
256km-257km,5.02572,5.02572,0
257km-258km,6.482,6.482,0
258km-259km,5.52624,5.52624,0
259km-260km,4.01428,4.01428,0
260km-261km,3.52602,3.52602,0
261km-262km,5.09315,5.09315,0
262km-263km,4.54876,4.54876,0
263km-264km,4.51122,4.51122,0
264km-265km,4.14937,4.14937,0
265km-266km,3.56931,3.56931,0
266km-267km,3.93945,3.93945,0
267km-268km,3.93112,3.93112,0
268km-269km,3.75785,3.75785,0
269km-270km,2.74269,2.74269,0
270km-271km,2.92573,2.92573,0
271km-272km,3.09249,3.09249,0
272km-273km,3.03989,3.03989,0
273km-274km,3.45249,3.45249,0
274km-275km,3.81645,3.81645,0
275km-276km,2.31814,2.31814,0
276km-277km,2.2592,2.2592,0
277km-278km,2.1849,2.1849,0
278km-279km,2.92147,2.92147,0
279km-280km,2.06389,2.06389,0
280km-281km,2.96064,2.96064,0
281km-282km,2.85028,2.85028,0
282km-283km,3.32045,3.32045,0
283km-284km,2.85163,2.85163,0
284km-285km,1.79752,1.79752,0
285km-286km,1.75234,1.75234,0
286km-287km,2.15409,2.15409,0
287km-288km,2.02758,2.02758,0
288km-289km,1.92919,1.92919,0
289km-290km,2.84101,2.84101,0
290km-291km,2.52101,2.52101,0
291km-292km,1.77269,1.77269,0
292km-293km,1.46338,1.46338,0
293km-294km,1.41836,1.41836,0
294km-295km,1.81989,1.81989,0
295km-296km,1.35604,1.35604,0
296km-297km,1.31135,1.31135,0
297km-298km,1.92065,1.92065,0
298km-299km,2.27824,2.27824,0
299km-300km,1.68481,1.68481,0
300km-301km,1.4201,1.4201,0
301km-302km,1.89165,1.89165,0
302km-303km,1.1034,1.1034,0
303km-304km,1.07709,1.07709,0
304km-305km,1.05084,1.05084,0
305km-306km,1.03345,1.03345,0
306km-307km,1.00205,1.00205,0
307km-308km,0.971673,0.971673,0
308km-309km,0.945637,0.945637,0
309km-310km,0.925745,0.925745,0
310km-311km,1.41793,1.41793,0
311km-312km,1.4645,1.4645,0
312km-313km,0.868695,0.868695,0
313km-314km,0.851155,0.851155,0
314km-315km,0.821936,0.821936,0
315km-316km,0.80231,0.80231,0
316km-317km,1.13214,1.13214,0
317km-318km,1.50906,1.50906,0
318km-319km,0.739433,0.739433,0
319km-320km,1.27969,1.27969,0
320km-321km,1.50424,1.50424,0
321km-322km,0.67969,0.67969,0
322km-323km,0.662214,0.662214,0
323km-324km,0.644832,0.644832,0
324km-325km,0.630843,0.630843,0
325km-326km,0.614282,0.614282,0
326km-327km,0.603893,0.603893,0
327km-328km,0.587736,0.587736,0
328km-329km,0.879315,0.879315,0
329km-330km,0.805861,0.805861,0
330km-331km,1.32121,1.32121,0
331km-332km,0.526407,0.526407,0
332km-333km,0.513088,0.513088,0
333km-334km,1.50192,1.50192,0
334km-335km,0.4897,0.4897,0
335km-336km,0.476264,0.476264,0
336km-337km,0.748553,0.748553,0
337km-338km,0.45481,0.45481,0
338km-339km,0.44184,0.44184,0
339km-340km,0.427056,0.427056,0
340km-341km,0.417004,0.417004,0
341km-342km,0.408167,0.408167,0
342km-343km,0.662903,0.662903,0
343km-344km,0.389223,0.389223,0
344km-345km,0.962001,0.962001,0
345km-346km,0.373038,0.373038,0
346km-347km,0.364526,0.364526,0
347km-348km,0.355877,0.355877,0
348km-349km,0.795291,0.795291,0
349km-350km,0.337374,0.337374,0
350km-351km,0.327642,0.327642,0
351km-352km,0.321378,0.321378,0
352km-353km,0.313865,0.313865,0
353km-354km,0.305792,0.305792,0
354km-355km,0.300818,0.300818,0
355km-356km,0.295411,0.295411,0
356km-357km,0.28609,0.28609,0
357km-358km,0.281057,0.281057,0
358km-359km,0.273443,0.273443,0
359km-360km,0.26585,0.26585,0
360km-361km,0.260417,0.260417,0
361km-362km,0.253476,0.253476,0
362km-363km,0.535356,0.535356,0
363km-364km,0.239595,0.239595,0
364km-365km,0.234071,0.234071,0
365km-366km,0.227425,0.227425,0
366km-367km,0.222553,0.222553,0
367km-368km,0.219156,0.219156,0
368km-369km,0.215305,0.215305,0
369km-370km,0.211515,0.211515,0
370km-371km,0.208406,0.208406,0
371km-372km,0.203097,0.203097,0
372km-373km,0.196851,0.196851,0
373km-374km,0.19041,0.19041,0
374km-375km,0.18704,0.18704,0
375km-376km,0.183129,0.183129,0
376km-377km,0.716607,0.716607,0
377km-378km,0.173545,0.173545,0
378km-379km,0.914636,0.914636,0
379km-380km,0.165653,0.165653,0
380km-381km,0.163164,0.163164,0
381km-382km,0.160715,0.160715,0
382km-383km,0.156555,0.156555,0
383km-384km,0.153198,0.153198,0
384km-385km,0.828377,0.828377,0
385km-386km,0.147559,0.147559,0
386km-387km,1.14442,1.14442,0
387km-388km,0.140353,0.140353,0
388km-389km,0.1369,0.1369,0
389km-390km,0.135099,0.135099,0
390km-391km,0.133216,0.133216,0
391km-392km,0.129646,0.129646,0
392km-393km,0.884279,0.884279,0
393km-394km,0.122623,0.122623,0
394km-395km,0.119355,0.119355,0
395km-396km,0.114771,0.114771,0
396km-397km,0.111912,0.111912,0
397km-398km,0.10891,0.10891,0
398km-399km,0.106911,0.106911,0
399km-400km,0.105088,0.105088,0
400km-401km,0.103146,0.103146,0
401km-402km,0.100106,0.100106,0
402km-403km,0.359599,0.359599,0
403km-404km,0.0956074,0.0956074,0
404km-405km,0.0929856,0.0929856,0
405km-406km,0.091514,0.091514,0
406km-407km,0.0900827,0.0900827,0
407km-408km,0.0885527,0.0885527,0
408km-409km,0.0867296,0.0867296,0
409km-410km,0.0855659,0.0855659,0
410km-411km,0.0826975,0.0826975,0
411km-412km,0.0807965,0.0807965,0
412km-413km,0.0790646,0.0790646,0
413km-414km,0.0770785,0.0770785,0
414km-415km,0.0765835,0.0765835,0
415km-416km,0.0747704,0.0747704,0
416km-417km,0.0723446,0.0723446,0
417km-418km,0.0709333,0.0709333,0
418km-419km,0.0694692,0.0694692,0
419km-420km,0.0674683,0.0674683,0
420km-421km,0.0660076,0.0660076,0
421km-422km,0.0650691,0.0650691,0
422km-423km,0.0643594,0.0643594,0
423km-424km,0.0627707,0.0627707,0
424km-425km,0.0618292,0.0618292,0
425km-426km,0.0607156,0.0607156,0
426km-427km,0.0592209,0.0592209,0
427km-428km,0.0572594,0.0572594,0
428km-429km,0.0560779,0.0560779,0
429km-430km,0.0551683,0.0551683,0
430km-431km,0.0540475,0.0540475,0
431km-432km,0.0525343,0.0525343,0
432km-433km,0.0516798,0.0516798,0
433km-434km,0.0509897,0.0509897,0
434km-435km,0.0499833,0.0499833,0
435km-436km,0.0491875,0.0491875,0
436km-437km,0.0484762,0.0484762,0
437km-438km,0.0486139,0.0486139,0
438km-439km,0.0458491,0.0458491,0
439km-440km,0.0450274,0.0450274,0
440km-441km,0.0447095,0.0447095,0
441km-442km,0.609987,0.609987,0
442km-443km,0.0426678,0.0426678,0
443km-444km,0.0420025,0.0420025,0
444km-445km,0.0415363,0.0415363,0
445km-446km,0.0403791,0.0403791,0
446km-447km,0.0394355,0.0394355,0
447km-448km,0.038846,0.038846,0
448km-449km,0.0377016,0.0377016,0
449km-450km,0.0366863,0.0366863,0
450km-451km,0.0104857,0.0104857,0
451km-452km,0.0101635,0.0101635,0
452km-453km,0.00967828,0.00967828,0
453km-454km,0.0099944,0.0099944,0
454km-455km,0.0104516,0.0104516,0
455km-456km,0.009923,0.009923,0
456km-457km,0.00926067,0.00926067,0
457km-458km,0.00941309,0.00941309,0
458km-459km,0.00926673,0.00926673,0
459km-460km,0.00948525,0.00948525,0
460km-461km,0.00914748,0.00914748,0
461km-462km,0.00842911,0.00842911,0
462km-463km,0.00857865,0.00857865,0
463km-464km,0.00874908,0.00874908,0
464km-465km,0.00876993,0.00876993,0
465km-466km,0.00886874,0.00886874,0
466km-467km,0.00856911,0.00856911,0
467km-468km,0.0075659,0.0075659,0
468km-469km,0.00761935,0.00761935,0
469km-470km,0.00778455,0.00778455,0
470km-471km,0.00812853,0.00812853,0
471km-472km,0.00795691,0.00795691,0
472km-473km,0.00789105,0.00789105,0
473km-474km,0.00713354,0.00713354,0
474km-475km,0.00742066,0.00742066,0
475km-476km,0.00684562,0.00684562,0
476km-477km,0.00650332,0.00650332,0
477km-478km,0.00672071,0.00672071,0
478km-479km,0.00647673,0.00647673,0
479km-480km,0.00620639,0.00620639,0
480km-481km,0.00622022,0.00622022,0
481km-482km,0.00627406,0.00627406,0
482km-483km,0.0061336,0.0061336,0
483km-484km,0.00618647,0.00618647,0
484km-485km,0.0060146,0.0060146,0
485km-486km,0.0062405,0.0062405,0
486km-487km,0.00641241,0.00641241,0
487km-488km,0.00596082,0.00596082,0
488km-489km,0.00536169,0.00536169,0
489km-490km,0.00515937,0.00515937,0
490km-491km,0.00509464,0.00509464,0
491km-492km,0.00510447,0.00510447,0
492km-493km,0.00496316,0.00496316,0
493km-494km,0.00491684,0.00491684,0
494km-495km,0.00497735,0.00497735,0
495km-496km,0.00495967,0.00495967,0
496km-497km,0.00470025,0.00470025,0
497km-498km,0.00467179,0.00467179,0
498km-499km,0.0046306,0.0046306,0
499km-500km,0.00448212,0.00448212,0
500km-501km,0.00453361,0.00453361,0
501km-502km,0.00451745,0.00451745,0
502km-503km,0.00436094,0.00436094,0
503km-504km,0.00418815,0.00418815,0
504km-505km,0.00401848,0.00401848,0
505km-506km,0.0040269,0.0040269,0
506km-507km,0.0041461,0.0041461,0
507km-508km,0.00405401,0.00405401,0
508km-509km,0.00391911,0.00391911,0
509km-510km,0.00415967,0.00415967,0
510km-511km,0.00397433,0.00397433,0
511km-512km,0.00355402,0.00355402,0
512km-513km,0.00350104,0.00350104,0
513km-514km,0.00331238,0.00331238,0
514km-515km,0.00340038,0.00340038,0
515km-516km,0.00382757,0.00382757,0
516km-517km,0.00378876,0.00378876,0
517km-518km,0.00352987,0.00352987,0
518km-519km,0.00334223,0.00334223,0
519km-520km,0.00307466,0.00307466,0
520km-521km,0.00297259,0.00297259,0
521km-522km,0.00327594,0.00327594,0
522km-523km,0.00314893,0.00314893,0
523km-524km,0.00337911,0.00337911,0
524km-525km,0.00340902,0.00340902,0
525km-526km,0.00304305,0.00304305,0
526km-527km,0.00297576,0.00297576,0
527km-528km,0.00318772,0.00318772,0
528km-529km,0.00297341,0.00297341,0
529km-530km,0.00271061,0.00271061,0
530km-531km,0.00270477,0.00270477,0
531km-532km,0.00257842,0.00257842,0
532km-533km,0.00249462,0.00249462,0
533km-534km,0.00250138,0.00250138,0
534km-535km,0.00261077,0.00261077,0
535km-536km,0.00306596,0.00306596,0
536km-537km,0.00300785,0.00300785,0
537km-538km,0.00278055,0.00278055,0
538km-539km,0.0027491,0.0027491,0
539km-540km,0.00254373,0.00254373,0
540km-541km,0.00250299,0.00250299,0
541km-542km,0.00239921,0.00239921,0
542km-543km,0.00244252,0.00244252,0
543km-544km,0.0026863,0.0026863,0
544km-545km,0.00258634,0.00258634,0
545km-546km,0.00256833,0.00256833,0
546km-547km,0.00235848,0.00235848,0
547km-548km,0.00239777,0.00239777,0
548km-549km,0.00257084,0.00257084,0
549km-550km,0.00238022,0.00238022,0
550km-551km,0.00250742,0.00250742,0
551km-552km,0.00264025,0.00264025,0
552km-553km,0.00263608,0.00263608,0
553km-554km,0.0024559,0.0024559,0
554km-555km,0.00260168,0.00260168,0
555km-556km,0.00271265,0.00271265,0
556km-557km,0.00263319,0.00263319,0
557km-558km,0.00251942,0.00251942,0
558km-559km,0.0023555,0.0023555,0
559km-560km,0.00207371,0.00207371,0
560km-561km,0.00208794,0.00208794,0
561km-562km,0.00213455,0.00213455,0
562km-563km,0.00222362,0.00222362,0
563km-564km,0.00222123,0.00222123,0
564km-565km,0.00196193,0.00196193,0
565km-566km,0.00187862,0.00187862,0
566km-567km,0.00189018,0.00189018,0
567km-568km,0.00184636,0.00184636,0
568km-569km,0.00176991,0.00176991,0
569km-570km,0.00173806,0.00173806,0
570km-571km,0.0017723,0.0017723,0
571km-572km,0.00163104,0.00163104,0
572km-573km,0.00167893,0.00167893,0
573km-574km,0.00169043,0.00169043,0
574km-575km,0.00161151,0.00161151,0
575km-576km,0.00168418,0.00168418,0
576km-577km,0.00167149,0.00167149,0
577km-578km,0.00162982,0.00162982,0
578km-579km,0.00151786,0.00151786,0
579km-580km,0.00145868,0.00145868,0
580km-581km,0.00155026,0.00155026,0
581km-582km,0.00154792,0.00154792,0
582km-583km,0.0016059,0.0016059,0
583km-584km,0.00161489,0.00161489,0
584km-585km,0.00145328,0.00145328,0
585km-586km,0.00139563,0.00139563,0
586km-587km,0.00143708,0.00143708,0
587km-588km,0.00158695,0.00158695,0
588km-589km,0.00139541,0.00139541,0
589km-590km,0.00147261,0.00147261,0
590km-591km,0.00150179,0.00150179,0
591km-592km,0.0014468,0.0014468,0
592km-593km,0.00150122,0.00150122,0
593km-594km,0.0013565,0.0013565,0
594km-595km,0.00157578,0.00157578,0
595km-596km,0.00167021,0.00167021,0
596km-597km,0.00136879,0.00136879,0
597km-598km,0.00147201,0.00147201,0
598km-599km,0.00143847,0.00143847,0
599km-600km,0.00147824,0.00147824,0
600km-601km,0.00134027,0.00134027,0
601km-602km,0.00136185,0.00136185,0
602km-603km,0.00121128,0.00121128,0
603km-604km,0.00123614,0.00123614,0
604km-605km,0.00117183,0.00117183,0
605km-606km,0.00117298,0.00117298,0
606km-607km,0.0012927,0.0012927,0
607km-608km,0.00120545,0.00120545,0
608km-609km,0.0012137,0.0012137,0
609km-610km,0.0011969,0.0011969,0
610km-611km,0.00116439,0.00116439,0
611km-612km,0.00121492,0.00121492,0
612km-613km,0.00116278,0.00116278,0
613km-614km,0.00117218,0.00117218,0
614km-615km,0.00141205,0.00141205,0
615km-616km,0.00117618,0.00117618,0
616km-617km,0.0012571,0.0012571,0
617km-618km,0.00128105,0.00128105,0
618km-619km,0.00120404,0.00120404,0
619km-620km,0.00135466,0.00135466,0
620km-621km,0.00118915,0.00118915,0
621km-622km,0.00110467,0.00110467,0
622km-623km,0.00120365,0.00120365,0
623km-624km,0.00114814,0.00114814,0
624km-625km,0.0010437,0.0010437,0
625km-626km,0.00100152,0.00100152,0
626km-627km,0.000971112,0.000971112,0
627km-628km,0.00118692,0.00118692,0
628km-629km,0.00102752,0.00102752,0
629km-630km,0.00107025,0.00107025,0
630km-631km,0.00113784,0.00113784,0
631km-632km,0.00111901,0.00111901,0
632km-633km,0.00113665,0.00113665,0
633km-634km,0.00131708,0.00131708,0
634km-635km,0.00112743,0.00112743,0
635km-636km,0.00104631,0.00104631,0
636km-637km,0.00101445,0.00101445,0
637km-638km,0.000999411,0.000999411,0
638km-639km,0.00107834,0.00107834,0
639km-640km,0.00115972,0.00115972,0
640km-641km,0.00105926,0.00105926,0
641km-642km,0.00105879,0.00105879,0
642km-643km,0.00100189,0.00100189,0
643km-644km,0.00104166,0.00104166,0
644km-645km,0.00110469,0.00110469,0
645km-646km,0.00110326,0.00110326,0
646km-647km,0.00101079,0.00101079,0
647km-648km,0.00106528,0.00106528,0
648km-649km,0.000955976,0.000955976,0
649km-650km,0.000895099,0.000895099,0
650km-651km,0.0010042,0.0010042,0
651km-652km,0.000982213,0.000982213,0
652km-653km,0.000942362,0.000942362,0
653km-654km,0.000921686,0.000921686,0
654km-655km,0.000967028,0.000967028,0
655km-656km,0.000941927,0.000941927,0
656km-657km,0.000881718,0.000881718,0
657km-658km,0.000921301,0.000921301,0
658km-659km,0.000879954,0.000879954,0
659km-660km,0.000875443,0.000875443,0
660km-661km,0.000922495,0.000922495,0
661km-662km,0.000938546,0.000938546,0
662km-663km,0.000870066,0.000870066,0
663km-664km,0.000953748,0.000953748,0
664km-665km,0.000887443,0.000887443,0
665km-666km,0.000992955,0.000992955,0
666km-667km,0.000884129,0.000884129,0
667km-668km,0.000921941,0.000921941,0
668km-669km,0.000842972,0.000842972,0
669km-670km,0.000938667,0.000938667,0
670km-671km,0.000916828,0.000916828,0
671km-672km,0.000879546,0.000879546,0
672km-673km,0.000923741,0.000923741,0
673km-674km,0.00098876,0.00098876,0
674km-675km,0.000984252,0.000984252,0
675km-676km,0.000960252,0.000960252,0
676km-677km,0.000917601,0.000917601,0
677km-678km,0.000951803,0.000951803,0
678km-679km,0.000963194,0.000963194,0
679km-680km,0.000986911,0.000986911,0
680km-681km,0.000962284,0.000962284,0
681km-682km,0.000923289,0.000923289,0
682km-683km,0.00088084,0.00088084,0
683km-684km,0.0010996,0.0010996,0
684km-685km,0.000967892,0.000967892,0
685km-686km,0.000919669,0.000919669,0
686km-687km,0.000938068,0.000938068,0
687km-688km,0.00105316,0.00105316,0
688km-689km,0.001033,0.001033,0
689km-690km,0.00100546,0.00100546,0
690km-691km,0.000888495,0.000888495,0
691km-692km,0.000845464,0.000845464,0
692km-693km,0.000861088,0.000861088,0
693km-694km,0.000949594,0.000949594,0
694km-695km,0.000981322,0.000981322,0
695km-696km,0.000897222,0.000897222,0
696km-697km,0.000814003,0.000814003,0
697km-698km,0.00082038,0.00082038,0
698km-699km,0.000865785,0.000865785,0
699km-700km,0.000848834,0.000848834,0
700km-701km,0.000847888,0.000847888,0
701km-702km,0.000773858,0.000773858,0
702km-703km,0.000745851,0.000745851,0
703km-704km,0.000790174,0.000790174,0
704km-705km,0.000818422,0.000818422,0
705km-706km,0.000769019,0.000769019,0
706km-707km,0.000800474,0.000800474,0
707km-708km,0.000856638,0.000856638,0
708km-709km,0.000760451,0.000760451,0
709km-710km,0.000752694,0.000752694,0
710km-711km,0.000742493,0.000742493,0
711km-712km,0.000722376,0.000722376,0
712km-713km,0.000689253,0.000689253,0
713km-714km,0.000758417,0.000758417,0
714km-715km,0.000738032,0.000738032,0
715km-716km,0.000674003,0.000674003,0
716km-717km,0.000718636,0.000718636,0
717km-718km,0.000789294,0.000789294,0
718km-719km,0.000716888,0.000716888,0
719km-720km,0.000714257,0.000714257,0
720km-721km,0.000679866,0.000679866,0
721km-722km,0.000731336,0.000731336,0
722km-723km,0.000653261,0.000653261,0
723km-724km,0.000627042,0.000627042,0
724km-725km,0.000571577,0.000571577,0
725km-726km,0.000564809,0.000564809,0
726km-727km,0.000575394,0.000575394,0
727km-728km,0.000512879,0.000512879,0
728km-729km,0.00056901,0.00056901,0
729km-730km,0.000610766,0.000610766,0
730km-731km,0.000708303,0.000708303,0
731km-732km,0.000654631,0.000654631,0
732km-733km,0.000650723,0.000650723,0
733km-734km,0.000589682,0.000589682,0
734km-735km,0.000650541,0.000650541,0
735km-736km,0.000609429,0.000609429,0
736km-737km,0.00064248,0.00064248,0
737km-738km,0.000637735,0.000637735,0
738km-739km,0.00063893,0.00063893,0
739km-740km,0.000597774,0.000597774,0
740km-741km,0.000579139,0.000579139,0
741km-742km,0.000586598,0.000586598,0
742km-743km,0.000635418,0.000635418,0
743km-744km,0.000581863,0.000581863,0
744km-745km,0.000615207,0.000615207,0
745km-746km,0.000574979,0.000574979,0
