Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
0km-1km,0,0,0
1km-2km,0,0,0
2km-3km,0,0,0
3km-4km,0,0,0
4km-5km,0,0,0
5km-6km,0,0,0
6km-7km,0,0,0
7km-8km,0,0,0
8km-9km,0,0,0
9km-10km,0,0,0
10km-11km,0,0,0
11km-12km,0,0,0
12km-13km,0,0,0
13km-14km,0,0,0
14km-15km,0,0,0
15km-16km,0,0,0
16km-17km,0,0,0
17km-18km,0,0,0
18km-19km,0,0,0
19km-20km,0,0,0
20km-21km,0,0,0
21km-22km,0,0,0
22km-23km,0,0,0
23km-24km,0,0,0
24km-25km,0,0,0
25km-26km,0,0,0
26km-27km,0,0,0
27km-28km,0,0,0
28km-29km,0,0,0
29km-30km,0,0,0
30km-31km,0,0,0
31km-32km,0,0,0
32km-33km,0,0,0
33km-34km,0,0,0
34km-35km,0,0,0
35km-36km,0,0,0
36km-37km,0,0,0
37km-38km,0,0,0
38km-39km,0,0,0
39km-40km,0,0,0
40km-41km,0,0,0
41km-42km,0,0,0
42km-43km,0,0,0
43km-44km,0,0,0
44km-45km,0,0,0
45km-46km,0,0,0
46km-47km,0,0,0
47km-48km,0.116841,0.116841,0
48km-49km,0,0,0
49km-50km,0.346959,0.346959,0.13
50km-51km,0.354725,0.354725,0.24
51km-52km,0,0,0
52km-53km,0.0788787,0.0788787,0.07
53km-54km,0.496729,0.496729,0.27
54km-55km,0.329021,0.329021,0.06
55km-56km,0.861915,0.861915,0.33
56km-57km,0.452829,0.452829,0.14
57km-58km,0.894902,0.894902,0.32
58km-59km,0.912244,0.912244,0.28
59km-60km,0.65108,0.65108,0.2
60km-61km,0.623874,0.623874,0.36
61km-62km,0.805067,0.805067,0.43
62km-63km,0.871084,0.871084,0.3
63km-64km,1.34049,1.34049,0.45
64km-65km,1.3871,1.3871,0.42
65km-66km,1.27685,1.27685,0.72
66km-67km,1.1638,1.1638,0.59
67km-68km,1.68855,1.68855,0.84
68km-69km,1.67489,1.67489,0.83
69km-70km,1.4179,1.4179,0.48
70km-71km,1.12268,1.12268,0.53
71km-72km,2.1689,2.1689,0.97
72km-73km,1.47333,1.47333,0.87
73km-74km,1.38735,1.38735,0.7
74km-75km,2.54809,2.54809,1.03
75km-76km,1.94033,1.94033,0.84
76km-77km,1.69096,1.69096,0.63
77km-78km,1.72035,1.72035,0.87
78km-79km,2.01631,2.01631,1.31
79km-80km,2.1132,2.1132,1.01
80km-81km,1.4818,1.4818,0.78
81km-82km,2.84333,2.84333,1.18
82km-83km,2.13184,2.13184,1.22
83km-84km,2.1827,2.1827,1.16
84km-85km,2.25575,2.25575,1.3
85km-86km,1.51499,1.51499,0.96
86km-87km,1.82121,1.82121,1.19
87km-88km,2.64559,2.64559,1.29
88km-89km,2.24743,2.24743,1.36
89km-90km,3.2563,3.2563,1.7
90km-91km,2.12869,2.12869,1.59
91km-92km,3.4146,3.4146,1.81
92km-93km,4.43155,4.43155,1.73
93km-94km,6.20083,6.20083,1.88
94km-95km,5.90318,5.90318,1.86
95km-96km,89.8097,89.8097,3.02
96km-97km,3056.58,3056.58,2.63
97km-98km,24904.8,24904.8,20.16
98km-99km,77385.8,77385.8,76.05
99km-100km,127636,127636,113.32
100km-101km,154004,154004,159.33
101km-102km,155905,155905,151.62
102km-103km,139788,139788,133.31
103km-104km,119646,119646,81.72
104km-105km,98429.7,98429.7,82.21
105km-106km,79177.9,79177.9,48.74
106km-107km,62610.3,62610.3,56.45
107km-108km,49683.1,49683.1,41.95
108km-109km,39341.3,39341.3,28.4
109km-110km,31490.9,31490.9,17.96
110km-111km,25424.2,25424.2,12.04
111km-112km,20426.7,20426.7,8.56
112km-113km,16637.4,16637.4,7.65
113km-114km,13633.5,13633.5,11.5
114km-115km,11130.5,11130.5,7.53
115km-116km,9183.37,9183.37,4.36
116km-117km,7766.99,7766.99,2.46
117km-118km,6435.91,6435.91,3.38
118km-119km,5466.27,5466.27,1.27
119km-120km,4607.23,4607.23,3.06
120km-121km,4068.77,4068.77,5.08
121km-122km,3443.22,3443.22,1.17
122km-123km,3044.02,3044.02,1.03
123km-124km,2645.38,2645.38,2.04
124km-125km,2420.6,2420.6,0.06
125km-126km,2134.42,2134.42,0.05
126km-127km,1933.3,1933.3,1.04
127km-128km,1751.05,1751.05,3.03
128km-129km,1587.51,1587.51,2.04
129km-130km,1454.83,1454.83,0.06
130km-131km,1301.79,1301.79,1.04
131km-132km,1197.04,1197.04,0.03
132km-133km,1141.52,1141.52,0.04
133km-134km,1037.75,1037.75,2.04
134km-135km,952.659,952.659,1.05
135km-136km,880.942,880.942,0
136km-137km,812.663,812.663,2.02
137km-138km,771.533,771.533,1
138km-139km,681.183,681.183,0.03
139km-140km,630.459,630.459,1.03
140km-141km,619.432,619.432,1
141km-142km,577.936,577.936,0
142km-143km,505.385,505.385,0
143km-144km,502.539,502.539,1.01
144km-145km,454.058,454.058,2.02
145km-146km,422.152,422.152,0
146km-147km,412.871,412.871,2
147km-148km,388.833,388.833,0
148km-149km,358.677,358.677,0
149km-150km,350.08,350.08,1.02
150km-151km,326.002,326.002,0
151km-152km,299.063,299.063,0
152km-153km,281.996,281.996,0
153km-154km,274.851,274.851,0.05
154km-155km,261.622,261.622,2.02
155km-156km,246.919,246.919,0
156km-157km,232.54,232.54,0
157km-158km,222.466,222.466,0
158km-159km,201.288,201.288,0
159km-160km,193.941,193.941,0
160km-161km,192.106,192.106,0.02
161km-162km,176.631,176.631,0
162km-163km,170.225,170.225,0
163km-164km,162.384,162.384,0
164km-165km,162.294,162.294,0
165km-166km,150.582,150.582,0.02
166km-167km,142.835,142.835,0.01
167km-168km,135.626,135.626,0
168km-169km,132.638,132.638,0
169km-170km,117.843,117.843,0
170km-171km,119.545,119.545,0
171km-172km,111.307,111.307,0
172km-173km,103.085,103.085,0
173km-174km,104.846,104.846,0
174km-175km,91.1614,91.1614,0
175km-176km,94.2879,94.2879,0
176km-177km,84.507,84.507,0
177km-178km,82.881,82.881,0
178km-179km,85.5825,85.5825,0
179km-180km,72.1506,72.1506,0
180km-181km,75.1684,75.1684,0
181km-182km,69.8393,69.8393,0
182km-183km,72.261,72.261,1
183km-184km,73.5283,73.5283,0
184km-185km,64.8427,64.8427,0
185km-186km,59.1621,59.1621,0
186km-187km,63.5968,63.5968,0
187km-188km,59.9068,59.9068,0
188km-189km,53.1472,53.1472,0.02
189km-190km,50.3057,50.3057,0
190km-191km,53.163,53.163,0
191km-192km,50.693,50.693,0
192km-193km,48.763,48.763,0
193km-194km,44.7421,44.7421,0
194km-195km,46.3346,46.3346,1
195km-196km,41.2883,41.2883,0
196km-197km,42.3648,42.3648,0.02
197km-198km,37.4857,37.4857,0
