Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
gamma,0.01,5.31312,137.055,0.832846,-0.261872,0.487637,551179,-194557,451000
gamma,0.01,12.0726,115.784,-0.594834,-0.703669,0.388616,-618146,-654437,451000
gamma,0.01,8.19418,168.184,0.00859249,0.133434,0.991021,-62356.3,47955.7,451000
gamma,0.01,13.9022,125.945,-0.719707,-0.260969,0.643364,-469393,-147117,451000
gamma,0.01,14.262,152.877,0.65916,-0.0257722,0.751561,251185,-13040.1,451000
e-,1,125.682,134.554,-0.472408,-0.365227,0.802147,326.877,-23.3348,451000
e-,1,103.393,109.722,-0.861766,-0.0481242,0.505018,65.0756,-16.57,451000
e-,1,75.6228,133.397,0.363502,-0.683624,0.632869,197.553,34.3457,451000
gamma,0.01,8.11284,153.896,0.174348,0.475911,0.862039,8107.9,208145,451000
gamma,0.01,25.4838,120.867,-0.541035,-0.674665,0.502105,-475847,-508738,451000
gamma,0.01,10.8199,134.379,0.523718,0.672198,0.523325,310063,485105,451000
e-,1,100.108,136.136,-0.519192,0.190436,0.833171,105.703,-10.199,451000
e-,1,71.5181,104.842,0.347769,0.917603,0.192516,142.801,32.6259,451000
e-,1,112.387,99.4794,0.0312745,0.986801,0.158887,85.6139,4.45747,451000
e-,1,107.739,97.1532,-0.929721,0.20604,0.305231,-199.867,-112.554,451000
e-,1,104.035,100.45,0.709607,-0.702703,0.0516405,-317.36,-88.7348,451000
e-,1,27.3438,144.487,-0.153784,-0.488318,0.859009,154.166,135.477,451000
e-,1,26.1302,101.826,-0.719056,-0.60134,0.348352,342.177,52.3517,451000
e-,1,54.1426,141.641,0.219558,0.618569,0.754432,305.426,-3.22821,451000
e-,1,55.9793,111.163,0.763941,0.606859,0.219355,123.405,-4.59305,451000
e-,1,156.976,121.792,0.00592435,0.846154,0.532906,177.13,-31.7337,451000
e-,1,61.7207,155.479,-0.203629,0.156763,0.966416,202.349,-9.78992,451000
e-,1,79.8666,154.002,-0.087772,-0.348941,0.933025,286.799,-104.045,451000
e-,1,90.6534,129.216,-0.615538,0.203911,0.761271,287.012,2.4666,451000
e-,1,41.4711,168.998,0.028284,-0.101889,0.994394,353.392,98.6277,451000
e-,1,82.6559,146.998,0.152878,-0.542362,0.826118,146.83,-166.378,451000
e-,1,109.548,142.747,0.661315,0.30942,0.683317,161.912,-41.8559,451000
e-,1,54.5094,133.856,-0.123667,0.675744,0.726689,103.942,-61.6717,451000
gamma,0.01,58.7165,140.436,-0.566745,0.0506801,0.822333,-451497,235879,451000
gamma,0.01,13.7715,136.535,-0.207197,0.652564,0.728855,-174617,335504,451000
gamma,0.01,9.25683,128.912,0.323539,0.821771,0.469058,191077,657117,451000
gamma,0.01,12.9305,129.653,0.359527,0.803198,0.474988,216290,634225,451000
gamma,0.01,25.4859,138.675,0.753245,0.411703,0.512955,561631,374964,451000
gamma,0.01,28.0356,171.462,0.200898,0.161759,0.966165,10179,62219.4,451000
gamma,0.01,11.5215,126.537,0.333775,0.85006,0.407422,239686,782692,451000
gamma,0.01,6.92433,166.084,0.199815,-0.255105,0.946042,11409.8,-101877,451000
gamma,0.01,14.2878,127.075,0.493666,0.792866,0.357291,450855,832503,451000
gamma,0.01,38.965,118.267,-0.503099,0.753713,0.422856,-514572,668559,451000
gamma,0.01,40.9711,128.582,0.488988,-0.78257,0.385324,498857,-806807,451000
gamma,0.01,23.5503,136.912,0.898967,0.114424,0.422807,826367,128174,451000
e-,1,94.7732,118.738,-0.461084,0.674913,0.576102,205.42,-24.261,451000
gamma,0.01,38.6984,122.757,-0.77392,-0.026063,0.632746,-529432,64262.9,451000
gamma,0.01,21.6496,147.057,0.536974,-0.450915,0.712976,228371,-244373,451000
gamma,0.01,22.1142,152.454,0.634392,0.107559,0.765492,245301,57744.6,451000
gamma,0.01,37.2105,128.918,0.204448,-0.844793,0.494495,80640.2,-714752,451000
gamma,0.01,32.0282,131.971,-0.685833,0.044767,0.726381,-480460,26631.5,451000
gamma,0.01,35.9195,134.668,-0.645535,-0.113387,0.755267,-492902,-42272.5,451000
gamma,0.01,46.6734,130.713,-0.41625,-0.618357,0.666612,-437528,-303200,451000
gamma,0.01,113.551,146.581,-0.120466,-0.519355,0.846025,-120135,-228821,451000
gamma,0.01,51.0954,134.162,0.903265,0.229753,0.362389,918488,198782,451000
gamma,0.01,15.2525,154.608,-0.278765,0.0411298,0.959478,-175188,15228.3,451000
gamma,0.01,31.6626,134.571,0.778224,0.398556,0.485305,532358,306555,451000
gamma,0.01,40.7422,133.246,0.772271,0.477499,0.419037,621922,425629,451000
gamma,0.01,9.11004,157.656,0.579854,-0.069318,0.811766,199654,-32648.9,451000
gamma,0.01,39.122,153.871,0.0669681,-0.45877,0.886028,689.848,-204190,451000
gamma,0.01,26.7398,145.207,0.643688,0.379962,0.6643,294931,213293,451000
gamma,0.01,6.85351,126.353,-0.568207,-0.540086,0.620844,-414626,-328960,451000
e-,1,82.6301,110.905,-0.413728,-0.794254,0.44496,278.928,-12.2777,451000
e-,1,59.3372,107.943,0.193896,0.942036,0.273811,266.392,26.0065,451000
e-,1,29.1726,90.9874,-0.822491,0.541582,0.173772,181.877,4.99669,451000
e-,1,29.1726,90.9905,-0.978429,0.0237442,0.205213,188.69,2.94482,451000
e-,1,29.1726,90.9954,-0.851032,-0.492442,0.182334,195.48,4.62114,451000
e-,1,29.1726,90.9957,-0.208685,-0.976109,0.0605048,201.844,13.0728,451000
e-,1,29.1721,83.666,-0.778757,0.626334,0.0352585,164.784,8.80054,451000
e-,1,16.4981,141.823,-0.0968549,-0.563244,0.820595,130.744,-67.8537,451000
e-,1,41.9976,132.681,-0.594139,0.0148045,0.804226,324.532,183.737,451000
e-,1,83.4705,117.267,-0.776683,-0.135941,0.615048,178.887,-71.1738,451000
e-,1,144.586,115.808,-0.404547,-0.748481,0.525469,118.591,9.1184,451000
e-,1,83.3251,150.391,0.0752794,0.488202,0.869478,285.677,99.6196,451000
gamma,0.01,3.55239,156.311,0.581399,-0.0697918,0.81062,197794,-32440.8,451000
gamma,0.01,7.56522,135.478,0.0109506,-0.741549,0.670809,-60787.4,-408509,451000
