Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
e-,1,2.73158,119.467,-0.752685,-0.128894,0.64564,157.738,11.101,451000
e-,1,25.4028,116.175,0.959412,0.0883393,0.267815,256.396,8.33289,451000
e-,1,20.3227,122.684,0.787376,0.471222,0.397477,174.454,16.3221,451000
e-,1,21.3647,144.99,-0.190421,-0.451335,0.871801,177.552,-28.5198,451000
e-,1,14.5145,170.31,0.333239,-0.0732645,0.939992,226.211,-44.5744,451000
e-,1,19.9854,131.488,0.859396,-0.0391376,0.50981,174.074,74.6533,451000
e-,1,22.4093,138.81,0.0359627,0.65186,0.757486,127.518,-41.5939,451000
e-,1,14.2151,128.22,-0.110933,0.752572,0.649099,119.166,-12.1026,451000
e-,1,22.5799,143.926,0.0719191,0.585985,0.807124,155.16,5.48183,451000
e-,1,15.0763,111.616,-0.596898,-0.634221,0.491402,146.989,-3.9121,451000
e-,1,12.0896,157.162,0.122202,-0.381951,0.916068,307.616,128.537,451000
e-,1,17.8713,172.966,0.0931114,0.0794096,0.992484,200.6,12.3231,451000
e-,1,8.05201,130.91,-0.620452,0.0247535,0.783854,172.748,135.001,451000
e-,1,17.8101,124.794,-0.493032,0.550112,0.674015,141.46,-28.0798,451000
e-,1,13.5831,135.846,0.0411938,-0.687906,0.72463,196.79,70.0417,451000
gamma,0.01,5.44325,120.666,-0.736896,-0.398339,0.546178,-532072,-254114,451000
gamma,0.01,0.305723,132.318,-0.664119,0.0297239,0.747036,-372125,13209.2,451000
gamma,0.01,6.81983,130.362,0.756305,0.542783,0.365225,656624,515931,451000
gamma,0.01,3.44144,168.546,0.385576,0.0273047,0.922272,82181.7,9669.77,451000
gamma,0.01,4.85182,154.597,0.603341,0.1597,0.781329,205267,70421.9,451000
gamma,0.01,23.6566,145.951,0.115617,0.658994,0.743209,485301,753319,451000
gamma,0.01,5.63225,121.741,-0.0848081,0.900343,0.426838,-132189,732529,451000
gamma,0.01,2.47076,133.956,-0.269982,-0.655168,0.705595,-196122,-323355,451000
e-,1,24.8592,137.956,-0.481025,0.228393,0.846435,203.32,18.2384,451000
e-,1,8.36709,142.302,0.537834,0.468083,0.701165,226.712,6.69783,451000
e-,1,17.4934,168.314,0.293724,-0.166603,0.94126,270.265,-42.0407,451000
e-,1,8.79417,140.374,0.274971,0.626002,0.729735,144.387,61.0231,451000
e-,1,7.16159,171.954,0.100716,-0.106476,0.989201,86.192,186.755,451000
e-,1,23.7435,156.125,0.566887,0.0509721,0.822217,230.127,-11.2974,451000
e-,1,20.5766,170.927,0.034116,-0.0278701,0.999029,191.739,-48.0542,451000
e-,1,18.0478,136.814,-0.0277887,-0.661255,0.749646,252.951,10.7158,451000
e-,1,5.36528,168.737,0.037345,0.127796,0.991097,226.869,-5.58915,451000
gamma,0.01,6.44435,134.118,-0.0550137,0.764706,0.642026,-95406.3,424780,451000
gamma,0.01,5.21359,126.305,0.0359353,-0.862621,0.504572,-39369.1,-611162,451000
gamma,0.01,8.2915,129.891,0.468086,0.758355,0.453645,303701,596423,451000
gamma,0.01,10.6106,137.922,0.795312,0.317047,0.516681,484924,218548,451000
gamma,0.01,15.7387,143.837,0.682668,0.354098,0.639201,316618,197243,451000
gamma,0.01,10.0081,118.547,-0.39826,0.846036,0.354419,-466117,851923,451000
gamma,0.01,4.6627,167.283,0.416732,-0.0420943,0.908054,99095.7,-17154.5,451000
e-,1,28.1975,131.541,0.405995,0.693311,0.595389,193.647,1.82576,451000
e-,1,23.1148,138.884,0.736486,-0.254938,0.626574,152.456,44.7797,451000
e-,1,14.2627,150.276,0.444256,-0.402888,0.800199,74.6828,48.4494,451000
e-,1,28.1694,161.816,0.32227,-0.273278,0.906345,174.726,4.56764,451000
e-,1,16.8689,155.059,-0.190516,0.20881,0.959219,147.833,-13.3847,451000
e-,1,12.4739,146.179,0.609138,0.314119,0.728203,110.128,-20.083,451000
e-,1,27.9678,158.219,-0.1783,0.0938574,0.97949,210.15,-13.6612,451000
e-,1,11.8416,135.42,-0.529141,0.193373,0.826206,186.432,14.8449,451000
e-,1,25.1466,104.753,-0.213178,0.930603,0.297547,220.903,0.552764,451000
e-,1,21.8221,130.546,0.600944,0.584696,0.544974,190.801,34.571,451000
e-,1,20.8022,148.489,0.665715,0.0950587,0.740127,116.016,75.3942,451000
e-,1,11.4487,166.715,0.334643,0.173134,0.926304,179.981,1.13525,451000
e-,1,22.6794,110,0.862312,0.472724,0.181522,123.927,8.32709,451000
e-,1,1.39442,123.273,-0.445591,-0.619948,0.645843,-5.12719,-89.8615,451000
e-,1,14.7807,130.847,-0.161546,0.700671,0.694955,230.935,4.83447,451000
e-,1,7.5843,138.956,-0.356064,-0.416673,0.836422,209.428,-48.1367,451000
e-,1,19.2713,117.006,0.85088,-0.430788,0.300707,87.1416,-48.2004,451000
e-,1,20.0383,164.211,0.430025,-0.088798,0.898439,126.886,37.1566,451000
e-,1,7.58061,138.775,-0.201889,-0.557209,0.805456,328.185,42.6651,451000
e-,1,17.459,144.054,-0.411876,-0.117316,0.903656,83.6176,-16.4067,451000
e-,1,9.96509,141.251,-0.462237,-0.0813066,0.883021,238.289,162.864,451000
e-,1,3.33521,143.906,-0.0734423,-0.540081,0.838403,-124.615,89.7864,451000
e-,1,22.2464,160.782,0.333767,0.291042,0.896601,170.165,-49.0608,451000
e-,1,7.6825,127.297,-0.489077,-0.503484,0.712255,234.877,9.89903,451000
e-,1,10.7981,122.507,-0.719907,0.111842,0.685,343.73,105.817,451000
e-,1,6.63892,118.149,-0.523237,0.625317,0.578966,290.094,76.9047,451000
e-,1,16.4439,167.953,0.0424427,-0.148651,0.987978,204.916,-61.7184,451000
e-,1,21.4598,156.672,0.551693,0.0925172,0.8289,261.364,87.5653,451000
e-,1,5.89133,149.862,0.629579,-0.160071,0.760268,276.037,37.2034,451000
e-,1,23.906,102.585,-0.524699,-0.788344,0.321254,157.552,9.0162,451000
e-,1,11.3135,136.659,0.356578,0.650812,0.670295,89.4762,7.26358,451000
e-,1,1.06566,126.212,-0.281742,-0.698711,0.65759,238.447,58.9791,451000
e-,1,5.94379,168.516,0.37923,-0.0233029,0.925009,252.843,3.05793,451000
e-,1,8.71758,144.55,-0.198109,0.45885,0.866146,51.9696,27.8572,451000
e-,1,24.1815,131.206,-0.613182,-0.0470666,0.788538,226.596,-17.0078,451000
e-,1,27.8503,139.443,-0.346912,-0.414494,0.841337,215.6,-15.2891,451000
e-,1,7.66519,117.589,0.764562,-0.555739,0.326494,235.034,-25.3304,451000
e-,1,22.126,144.128,0.0870289,0.584851,0.806459,225.8,45.5354,451000
e-,1,18.4996,157.996,-0.00923466,-0.323441,0.946203,202.913,27.456,451000
e-,1,22.9054,163.646,0.229574,-0.274476,0.933787,205.298,87.9849,451000
e-,1,6.0851,142.082,0.505815,0.497355,0.704833,231.37,16.5446,451000
e-,1,12.0456,138.677,0.780612,-0.139666,0.609211,107.814,14.677,451000
e-,1,8.58833,154.964,0.285973,0.409051,0.866543,362.882,-21.6538,451000
e-,1,18.3036,134.448,0.231103,0.70861,0.666681,240.101,-13.4367,451000
e-,1,11.1893,129.783,0.118214,0.770258,0.62668,163.25,11.0802,451000
e-,1,11.5116,113.696,0.775671,0.575643,0.258787,216.674,-38.9747,451000
e-,1,19.9705,121.948,-0.41795,-0.663191,0.620883,290.771,60.2331,451000
e-,1,25.1499,148.885,0.169653,0.518969,0.837788,270.469,37.709,451000
e-,1,9.32909,113.525,-0.701745,-0.461963,0.542351,239.267,-121.02,451000
