Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
180km-181km,44.2714,44.2714,0
181km-182km,41.564,41.564,0
182km-183km,36.987,36.987,0
183km-184km,36.8926,36.8926,0
184km-185km,31.7365,31.7365,0
185km-186km,37.4236,37.4236,0
186km-187km,31.2408,31.2408,0
187km-188km,30.3768,30.3768,0
188km-189km,31.6421,31.6421,0
189km-190km,24.4879,24.4879,0
190km-191km,26.5874,26.5874,0
191km-192km,25.5369,25.5369,0
192km-193km,27.3089,27.3089,0
193km-194km,22.7066,22.7066,0
194km-195km,22.2667,22.2667,0
195km-196km,23.1428,23.1428,0
196km-197km,19.5867,19.5867,0
197km-198km,22.6533,22.6533,0
198km-199km,19.3665,19.3665,0
199km-200km,18.8057,18.8057,0
200km-201km,17.1876,17.1876,0
201km-202km,18.2612,18.2612,0
202km-203km,16.5396,16.5396,0
203km-204km,16.1311,16.1311,0
204km-205km,15.7036,15.7036,0
205km-206km,16.4207,16.4207,0
206km-207km,14.3162,14.3162,0
207km-208km,13.9943,13.9943,0
208km-209km,14.5736,14.5736,0
209km-210km,12.8516,12.8516,0
210km-211km,14.8133,14.8133,0
211km-212km,11.9764,11.9764,0
212km-213km,13.6304,13.6304,0
213km-214km,10.8981,10.8981,0
214km-215km,10.3909,10.3909,0
215km-216km,10.6308,10.6308,0
216km-217km,9.97299,9.97299,0
217km-218km,10.0887,10.0887,0
218km-219km,9.69494,9.69494,0
219km-220km,10.1115,10.1115,0
220km-221km,10.956,10.956,0
221km-222km,9.08738,9.08738,0
222km-223km,9.92875,9.92875,1
223km-224km,8.21296,8.21296,0
224km-225km,6.9396,6.9396,0
225km-226km,6.80386,6.80386,0
226km-227km,5.76554,5.76554,0
227km-228km,7.107,7.107,0
228km-229km,6.5173,6.5173,0
229km-230km,7.90427,7.90427,0
230km-231km,5.37856,5.37856,0
231km-232km,6.14624,6.14624,0
232km-233km,5.64703,5.64703,0
233km-234km,5.99011,5.99011,0
234km-235km,5.36368,5.36368,0
235km-236km,5.17268,5.17268,0
236km-237km,4.70449,4.70449,0
237km-238km,7.55158,7.55158,0
238km-239km,3.96857,3.96857,0
239km-240km,5.17879,5.17879,0
240km-241km,4.11099,4.11099,0
241km-242km,4.69662,4.69662,0
242km-243km,5.4673,5.4673,0
243km-244km,4.38213,4.38213,0
244km-245km,3.65053,3.65053,0
245km-246km,3.87126,3.87126,0
246km-247km,3.78967,3.78967,0
247km-248km,3.33721,3.33721,0
248km-249km,5.37226,5.37226,0
249km-250km,3.69173,3.69173,0
250km-251km,3.42296,3.42296,0
251km-252km,4.3278,4.3278,0
252km-253km,4.27214,4.27214,0
253km-254km,3.36195,3.36195,0
254km-255km,3.17637,3.17637,0
255km-256km,4.19701,4.19701,0
