Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
730km-731km,0.000386145,0.000386145,0
731km-732km,0.000383246,0.000383246,0
732km-733km,0.000411027,0.000411027,0
733km-734km,0.000340936,0.000340936,0
734km-735km,0.00033435,0.00033435,0
735km-736km,0.000327079,0.000327079,0
736km-737km,0.000302407,0.000302407,0
737km-738km,0.00032317,0.00032317,0
738km-739km,0.000330449,0.000330449,0
739km-740km,0.000344376,0.000344376,0
740km-741km,0.000314334,0.000314334,0
741km-742km,0.00025936,0.00025936,0
742km-743km,0.000287065,0.000287065,0
743km-744km,0.000363044,0.000363044,0
744km-745km,0.00033347,0.00033347,0
745km-746km,0.000334109,0.000334109,0
746km-747km,0.000292808,0.000292808,0
747km-748km,0.000271698,0.000271698,0
748km-749km,0.000306117,0.000306117,0
749km-750km,0.000298379,0.000298379,0
750km-751km,0.000308894,0.000308894,0
751km-752km,0.000268505,0.000268505,0
752km-753km,0.00025386,0.00025386,0
753km-754km,0.000284018,0.000284018,0
754km-755km,0.000257708,0.000257708,0
755km-756km,0.000269611,0.000269611,0
756km-757km,0.000261407,0.000261407,0
757km-758km,0.000260858,0.000260858,0
758km-759km,0.000250014,0.000250014,0
759km-760km,0.000239978,0.000239978,0
760km-761km,0.000270614,0.000270614,0
761km-762km,0.000283574,0.000283574,0
762km-763km,0.000269919,0.000269919,0
763km-764km,0.00025649,0.00025649,0
764km-765km,0.000220906,0.000220906,0
765km-766km,0.000232637,0.000232637,0
766km-767km,0.000239981,0.000239981,0
767km-768km,0.00024496,0.00024496,0
768km-769km,0.000235321,0.000235321,0
769km-770km,0.000238954,0.000238954,0
770km-771km,0.000265664,0.000265664,0
771km-772km,0.000289521,0.000289521,0
772km-773km,0.000280763,0.000280763,0
773km-774km,0.000263775,0.000263775,0
774km-775km,0.000281886,0.000281886,0
775km-776km,0.000266795,0.000266795,0
776km-777km,0.000276707,0.000276707,0
777km-778km,0.000238752,0.000238752,0
778km-779km,0.000248523,0.000248523,0
779km-780km,0.000237176,0.000237176,0
780km-781km,0.000244705,0.000244705,0
781km-782km,0.000246172,0.000246172,0
782km-783km,0.000240429,0.000240429,0
783km-784km,0.000235902,0.000235902,0
784km-785km,0.000256025,0.000256025,0
785km-786km,0.000270218,0.000270218,0
786km-787km,0.000253073,0.000253073,0
787km-788km,0.000277634,0.000277634,0
788km-789km,0.000234098,0.000234098,0
789km-790km,0.000221003,0.000221003,0
790km-791km,0.000210077,0.000210077,0
791km-792km,0.000235813,0.000235813,0
792km-793km,0.000217414,0.000217414,0
793km-794km,0.000233066,0.000233066,0
794km-795km,0.000230569,0.000230569,0
795km-796km,0.000232187,0.000232187,0
796km-797km,0.000238481,0.000238481,0
797km-798km,0.000214334,0.000214334,0
798km-799km,0.000225723,0.000225723,0
799km-800km,0.000217842,0.000217842,0
800km-801km,0.000211182,0.000211182,0
801km-802km,0.000215082,0.000215082,0
802km-803km,0.000202728,0.000202728,0
803km-804km,0.000199208,0.000199208,0
804km-805km,0.000212345,0.000212345,0
805km-806km,0.00022989,0.00022989,0
806km-807km,0.000234191,0.000234191,0
807km-808km,0.000252663,0.000252663,0
808km-809km,0.000203695,0.000203695,0
809km-810km,0.000227166,0.000227166,0
810km-811km,0.000209192,0.000209192,0
811km-812km,0.000218048,0.000218048,0
812km-813km,0.000224381,0.000224381,0
813km-814km,0.00021549,0.00021549,0
814km-815km,0.000210332,0.000210332,0
815km-816km,0.000220698,0.000220698,0
816km-817km,0.00023075,0.00023075,0
817km-818km,0.00019096,0.00019096,0
818km-819km,0.000238074,0.000238074,0
819km-820km,0.000212358,0.000212358,0
820km-821km,0.000221458,0.000221458,0
821km-822km,0.000224857,0.000224857,0
822km-823km,0.000221996,0.000221996,0
823km-824km,0.000231806,0.000231806,0
824km-825km,0.000189169,0.000189169,0
825km-826km,0.000197389,0.000197389,0
826km-827km,0.00019055,0.00019055,0
827km-828km,0.000184836,0.000184836,0
828km-829km,0.000192683,0.000192683,0
829km-830km,0.000229925,0.000229925,0
830km-831km,0.000235613,0.000235613,0
831km-832km,0.000230012,0.000230012,0
832km-833km,0.00026949,0.00026949,0
833km-834km,0.000228699,0.000228699,0
834km-835km,0.000236413,0.000236413,0
835km-836km,0.000227783,0.000227783,0
836km-837km,0.000236114,0.000236114,0
837km-838km,0.000208863,0.000208863,0
838km-839km,0.000209856,0.000209856,0
839km-840km,0.000221114,0.000221114,0
840km-841km,0.000193973,0.000193973,0
841km-842km,0.000185391,0.000185391,0
842km-843km,0.000192221,0.000192221,0
843km-844km,0.000205461,0.000205461,0
844km-845km,0.000221703,0.000221703,0
845km-846km,0.000234828,0.000234828,0
846km-847km,0.000199411,0.000199411,0
847km-848km,0.000201794,0.000201794,0
848km-849km,0.000207542,0.000207542,0
849km-850km,0.000177863,0.000177863,0
850km-851km,0.000193987,0.000193987,0
851km-852km,0.000192778,0.000192778,0
852km-853km,0.00021507,0.00021507,0
853km-854km,0.000200594,0.000200594,0
854km-855km,0.000195007,0.000195007,0
855km-856km,0.000194507,0.000194507,0
856km-857km,0.000197719,0.000197719,0
857km-858km,0.000170704,0.000170704,0
858km-859km,0.000203229,0.000203229,0
859km-860km,0.000205161,0.000205161,0
860km-861km,0.000224266,0.000224266,0
861km-862km,0.00018169,0.00018169,0
862km-863km,0.000167357,0.000167357,0
863km-864km,0.000180767,0.000180767,0
864km-865km,0.000183452,0.000183452,0
865km-866km,0.000159619,0.000159619,0
866km-867km,0.00016371,0.00016371,0
867km-868km,0.000162172,0.000162172,0
868km-869km,0.000154076,0.000154076,0
869km-870km,0.000171024,0.000171024,0
870km-871km,0.000200258,0.000200258,0
871km-872km,0.000190253,0.000190253,0
872km-873km,0.000197618,0.000197618,0
873km-874km,0.000199949,0.000199949,0
874km-875km,0.00019967,0.00019967,0
875km-876km,0.000185762,0.000185762,0
876km-877km,0.000185046,0.000185046,0
877km-878km,0.000184208,0.000184208,0
878km-879km,0.000187289,0.000187289,0
879km-880km,0.000177722,0.000177722,0
880km-881km,0.000183203,0.000183203,0
881km-882km,0.000210576,0.000210576,0
882km-883km,0.000184522,0.000184522,0
883km-884km,0.000156337,0.000156337,0
884km-885km,0.000153411,0.000153411,0
885km-886km,0.000167438,0.000167438,0
886km-887km,0.000152876,0.000152876,0
887km-888km,0.000177016,0.000177016,0
888km-889km,0.000167317,0.000167317,0
889km-890km,0.0001438,0.0001438,0
890km-891km,0.000145178,0.000145178,0
891km-892km,0.000173927,0.000173927,0
892km-893km,0.000164705,0.000164705,0
893km-894km,0.000179645,0.000179645,0
894km-895km,0.000181313,0.000181313,0
895km-896km,0.000193376,0.000193376,0
896km-897km,0.000211199,0.000211199,0
897km-898km,0.000157985,0.000157985,0
898km-899km,0.000162225,0.000162225,0
899km-900km,0.000163615,0.000163615,0
900km-901km,0.000149001,0.000149001,0
901km-902km,0.000150974,0.000150974,0
902km-903km,0.000144784,0.000144784,0
903km-904km,0.000140683,0.000140683,0
904km-905km,0.000168935,0.000168935,0
905km-906km,0.000164316,0.000164316,0
906km-907km,0.000167933,0.000167933,0
907km-908km,0.000148646,0.000148646,0
908km-909km,0.000141695,0.000141695,0
909km-910km,0.000157231,0.000157231,0
910km-911km,0.000158706,0.000158706,0
911km-912km,0.000169294,0.000169294,0
912km-913km,0.000167394,0.000167394,0
913km-914km,0.000147456,0.000147456,0
914km-915km,0.000144608,0.000144608,0
915km-916km,0.000155534,0.000155534,0
916km-917km,0.000132102,0.000132102,0
917km-918km,0.000159455,0.000159455,0
918km-919km,0.000150589,0.000150589,0
919km-920km,0.000137425,0.000137425,0
920km-921km,0.000148995,0.000148995,0
921km-922km,0.000138763,0.000138763,0
922km-923km,0.000195736,0.000195736,0
923km-924km,0.000147817,0.000147817,0
924km-925km,0.000145902,0.000145902,0
925km-926km,0.000148353,0.000148353,0
926km-927km,0.000125707,0.000125707,0
927km-928km,0.000128886,0.000128886,0
928km-929km,0.000131871,0.000131871,0
929km-930km,0.00012071,0.00012071,0
930km-931km,0.000133449,0.000133449,0
931km-932km,0.000113043,0.000113043,0
932km-933km,0.0001163,0.0001163,0
933km-934km,0.000124395,0.000124395,0
934km-935km,0.000116284,0.000116284,0
935km-936km,0.000127608,0.000127608,0
936km-937km,0.000126126,0.000126126,0
937km-938km,0.000142305,0.000142305,0
938km-939km,0.000136128,0.000136128,0
939km-940km,0.000110487,0.000110487,0
940km-941km,0.000120539,0.000120539,0
941km-942km,0.000115474,0.000115474,0
942km-943km,0.000135826,0.000135826,0
943km-944km,0.000132925,0.000132925,0
944km-945km,0.000126771,0.000126771,0
945km-946km,0.000123037,0.000123037,0
946km-947km,0.000132836,0.000132836,0
947km-948km,0.000128353,0.000128353,0
948km-949km,0.000134363,0.000134363,0
949km-950km,0.000137725,0.000137725,0
950km-951km,0.000141474,0.000141474,0
951km-952km,0.000133698,0.000133698,0
952km-953km,0.000128904,0.000128904,0
953km-954km,9.98477e-05,9.98477e-05,0
954km-955km,9.74753e-05,9.74753e-05,0
955km-956km,9.60588e-05,9.60588e-05,0
956km-957km,9.80804e-05,9.80804e-05,0
957km-958km,0.000111405,0.000111405,0
958km-959km,0.000104704,0.000104704,0
959km-960km,0.000124371,0.000124371,0
960km-961km,9.82679e-05,9.82679e-05,0
961km-962km,0.000118383,0.000118383,0
962km-963km,0.000102021,0.000102021,0
963km-964km,9.8329e-05,9.8329e-05,0
964km-965km,0.000116046,0.000116046,0
965km-966km,9.62254e-05,9.62254e-05,0
966km-967km,0.000103619,0.000103619,0
967km-968km,9.32518e-05,9.32518e-05,0
968km-969km,9.36708e-05,9.36708e-05,0
969km-970km,9.78098e-05,9.78098e-05,0
970km-971km,0.000104068,0.000104068,0
971km-972km,9.6915e-05,9.6915e-05,0
972km-973km,9.51911e-05,9.51911e-05,0
973km-974km,0.000113314,0.000113314,0
974km-975km,0.000103961,0.000103961,0
975km-976km,0.000102906,0.000102906,0
976km-977km,8.81977e-05,8.81977e-05,0
977km-978km,7.24785e-05,7.24785e-05,0
978km-979km,7.80597e-05,7.80597e-05,0
979km-980km,8.79131e-05,8.79131e-05,0
980km-981km,8.72924e-05,8.72924e-05,0
981km-982km,8.08232e-05,8.08232e-05,0
982km-983km,8.26025e-05,8.26025e-05,0
983km-984km,8.14895e-05,8.14895e-05,0
984km-985km,8.55862e-05,8.55862e-05,0
985km-986km,8.40214e-05,8.40214e-05,0
986km-987km,8.18855e-05,8.18855e-05,0
987km-988km,7.35041e-05,7.35041e-05,0
988km-989km,7.37831e-05,7.37831e-05,0
989km-990km,8.20463e-05,8.20463e-05,0
990km-991km,8.91994e-05,8.91994e-05,0
991km-992km,7.72694e-05,7.72694e-05,0
992km-993km,7.35757e-05,7.35757e-05,0
993km-994km,7.58737e-05,7.58737e-05,0
994km-995km,7.77505e-05,7.77505e-05,0
995km-996km,7.62883e-05,7.62883e-05,0
996km-997km,8.16193e-05,8.16193e-05,0
997km-998km,8.99881e-05,8.99881e-05,0
998km-999km,6.85072e-05,6.85072e-05,0
999km-1000km,6.53696e-05,6.53696e-05,0
