Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
0km-1km,0,0,0
1km-2km,0,0,0
2km-3km,0,0,0
3km-4km,0,0,0
4km-5km,0,0,0
5km-6km,0,0,0
6km-7km,0,0,0
7km-8km,0,0,0
8km-9km,0,0,0
9km-10km,0,0,0
10km-11km,0,0,0
11km-12km,0,0,0
12km-13km,0,0,0
13km-14km,0,0,0
14km-15km,0,0,0
15km-16km,0,0,0
16km-17km,0,0,0
17km-18km,0.551539,0.551539,0
18km-19km,0.0552131,0.0552131,0
19km-20km,1.5508,1.5508,0
20km-21km,5.36664,5.36664,0.27
21km-22km,9.79744,9.79744,0.79
22km-23km,22.3766,22.3766,1.84
23km-24km,30.4776,30.4776,1.74
24km-25km,49.9971,49.9971,2.63
25km-26km,66.9081,66.9081,3.04
26km-27km,87.5371,87.5371,3.92
27km-28km,94.7803,94.7803,6.5
28km-29km,126.769,126.769,5.87
29km-30km,141.919,141.919,7.1
30km-31km,142.249,142.249,7.22
31km-32km,168.669,168.669,7.07
32km-33km,171.196,171.196,9.4
33km-34km,191.571,191.571,7.75
34km-35km,182.055,182.055,11.11
35km-36km,191.167,191.167,10.42
36km-37km,208.75,208.75,8.45
37km-38km,184.009,184.009,11.3
38km-39km,184.079,184.079,9.79
39km-40km,180.613,180.613,7.25
40km-41km,181.362,181.362,9.27
41km-42km,176.461,176.461,9.31
42km-43km,170.107,170.107,8.77
43km-44km,156.181,156.181,6.88
44km-45km,155.732,155.732,8.32
45km-46km,163.704,163.704,7.12
46km-47km,154.427,154.427,6.08
47km-48km,144.294,144.294,7.21
48km-49km,155.563,155.563,6.15
49km-50km,136.469,136.469,5.94
50km-51km,136.106,136.106,5.78
51km-52km,132.423,132.423,6.47
52km-53km,123.96,123.96,6.58
53km-54km,123.187,123.187,7.39
54km-55km,129.981,129.981,4.44
55km-56km,119.406,119.406,5.43
56km-57km,121.251,121.251,5.78
57km-58km,112.836,112.836,4.48
58km-59km,120.672,120.672,4.19
59km-60km,109.443,109.443,4.88
60km-61km,107.057,107.057,5.91
61km-62km,113.6,113.6,4.71
62km-63km,113.481,113.481,5.63
63km-64km,114.815,114.815,5.49
64km-65km,106.279,106.279,4.47
65km-66km,111.064,111.064,3.97
66km-67km,109.264,109.264,4.45
67km-68km,112.179,112.179,4.27
68km-69km,111.435,111.435,5.22
69km-70km,205.186,205.186,4.25
70km-71km,15095.5,15095.5,5.59
71km-72km,195809,195809,209.35
72km-73km,656945,656945,469.54
73km-74km,1.15149e+06,1.15149e+06,909.16
74km-75km,1.44458e+06,1.44458e+06,1190.55
75km-76km,1.51778e+06,1.51778e+06,1165.05
76km-77km,1.47022e+06,1.47022e+06,1237.15
77km-78km,1.35342e+06,1.35342e+06,948.39
78km-79km,1.20846e+06,1.20846e+06,836.07
79km-80km,1.0416e+06,1.0416e+06,808.15
80km-81km,879384,879384,781.05
81km-82km,742209,742209,633.2
82km-83km,619542,619542,458.4
83km-84km,515287,515287,402.23
84km-85km,427756,427756,327.64
85km-86km,349897,349897,331.5
86km-87km,287859,287859,235.66
87km-88km,235898,235898,146.46
88km-89km,194547,194547,153.6
89km-90km,160491,160491,106.03
90km-91km,132090,132090,146.24
91km-92km,109248,109248,100.7
92km-93km,88957.1,88957.1,75.96
93km-94km,74228.9,74228.9,71.75
94km-95km,61292.6,61292.6,37.45
95km-96km,51065.7,51065.7,40.53
96km-97km,42792.8,42792.8,25.31
97km-98km,35336.9,35336.9,30.46
98km-99km,29503.9,29503.9,16.48
99km-100km,24118.2,24118.2,23.63
100km-101km,19975.8,19975.8,13.35
101km-102km,16579.8,16579.8,18.12
102km-103km,13823.1,13823.1,5.13
103km-104km,11423.5,11423.5,9.08
104km-105km,9456.55,9456.55,1.14
105km-106km,7802.52,7802.52,3.23
106km-107km,6559.74,6559.74,6.04
107km-108km,5377.23,5377.23,1.19
108km-109km,4517.02,4517.02,2.07
109km-110km,3772.91,3772.91,1.03
110km-111km,3119.58,3119.58,4.02
111km-112km,2725.17,2725.17,1
112km-113km,2250.87,2250.87,1.02
113km-114km,1831.97,1831.97,0.03
114km-115km,1616,1616,1.02
115km-116km,1325.09,1325.09,0.02
116km-117km,1132.54,1132.54,0.02
117km-118km,977.458,977.458,1
118km-119km,829.573,829.573,1
119km-120km,723.185,723.185,1.02
120km-121km,638.13,638.13,0
121km-122km,548.275,548.275,0
122km-123km,490.407,490.407,0.02
123km-124km,425.903,425.903,0
124km-125km,394.7,394.7,0
125km-126km,340.103,340.103,0
126km-127km,316.74,316.74,0
127km-128km,276.249,276.249,0
128km-129km,259.723,259.723,1
129km-130km,230.745,230.745,0
130km-131km,232.156,232.156,0
131km-132km,195.467,195.467,0.02
132km-133km,183.604,183.604,0
133km-134km,166.545,166.545,0
134km-135km,160.751,160.751,0
135km-136km,145.715,145.715,0
136km-137km,135.282,135.282,1
137km-138km,128.135,128.135,0
138km-139km,115.469,115.469,0
139km-140km,114.613,114.613,0
140km-141km,101.088,101.088,1
141km-142km,94.3131,94.3131,0
142km-143km,89.7537,89.7537,0
143km-144km,88.8247,88.8247,0
144km-145km,79.0246,79.0246,0
145km-146km,75.5245,75.5245,0
146km-147km,71.2183,71.2183,0
147km-148km,70.6278,70.6278,0
148km-149km,69.7813,69.7813,0
149km-150km,56.3744,56.3744,0
150km-151km,56.0485,56.0485,0
151km-152km,49.8813,49.8813,0
152km-153km,47.6573,47.6573,0
153km-154km,44.232,44.232,0
154km-155km,47.2699,47.2699,0
155km-156km,38.977,38.977,0
156km-157km,38.7038,38.7038,0
157km-158km,43.2751,43.2751,0
158km-159km,39.3428,39.3428,0
159km-160km,36.2909,36.2909,0
160km-161km,31.7167,31.7167,0
161km-162km,29.4603,29.4603,0
162km-163km,31.1479,31.1479,0
163km-164km,26.3105,26.3105,0
164km-165km,27.4617,27.4617,0
165km-166km,28.0113,28.0113,0
166km-167km,25.2825,25.2825,0
167km-168km,21.5442,21.5442,0
168km-169km,19.5816,19.5816,0
169km-170km,22.6838,22.6838,0
170km-171km,22.7134,22.7134,0
171km-172km,21.8363,21.8363,0
172km-173km,20.2085,20.2085,0
173km-174km,20.9484,20.9484,0
174km-175km,16.4869,16.4869,0
175km-176km,16.1583,16.1583,0
176km-177km,17.0331,17.0331,0
177km-178km,18.3031,18.3031,0
178km-179km,14.3929,14.3929,0
179km-180km,14.2052,14.2052,0
180km-181km,14.5497,14.5497,0
181km-182km,15.3145,15.3145,0
182km-183km,10.8074,10.8074,0
183km-184km,11.3443,11.3443,0
184km-185km,11.5461,11.5461,0
185km-186km,12.9729,12.9729,0
186km-187km,11.0104,11.0104,0
187km-188km,12.7975,12.7975,0
188km-189km,9.54227,9.54227,0
189km-190km,10.9406,10.9406,0
