Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
190km-191km,9.94154,9.94154,0
191km-192km,11.2125,11.2125,0
192km-193km,9.10569,9.10569,0
193km-194km,9.30349,9.30349,0
194km-195km,8.70718,8.70718,0
195km-196km,7.37116,7.37116,0
196km-197km,8.07986,8.07986,0
197km-198km,7.1972,7.1972,0
198km-199km,6.92882,6.92882,0
199km-200km,7.00383,7.00383,0
200km-201km,5.92028,5.92028,0
201km-202km,5.59088,5.59088,0
202km-203km,4.93688,4.93688,0
203km-204km,7.46852,7.46852,0
204km-205km,6.3353,6.3353,0
205km-206km,6.08909,6.08909,0
206km-207km,7.43181,7.43181,0
207km-208km,5.69484,5.69484,0
208km-209km,6.39435,6.39435,0
209km-210km,5.4862,5.4862,0
210km-211km,3.9763,3.9763,0
211km-212km,5.0769,5.0769,0.01
212km-213km,3.79185,3.79185,0
213km-214km,3.28934,3.28934,0
214km-215km,3.85918,3.85918,0
215km-216km,2.98696,2.98696,0
216km-217km,3.61637,3.61637,0
217km-218km,2.71188,2.71188,0
218km-219km,2.70966,2.70966,0
219km-220km,3.58608,3.58608,0
220km-221km,2.63381,2.63381,0
221km-222km,2.92689,2.92689,0
222km-223km,3.19712,3.19712,0
223km-224km,4.36579,4.36579,0
224km-225km,2.55315,2.55315,0
225km-226km,3.69568,3.69568,0
226km-227km,3.01906,3.01906,0
227km-228km,2.02451,2.02451,0
228km-229km,3.27183,3.27183,0
229km-230km,1.84177,1.84177,0
230km-231km,1.80394,1.80394,0
231km-232km,2.09452,2.09452,0
232km-233km,2.9126,2.9126,0
233km-234km,2.57788,2.57788,0
234km-235km,1.59689,1.59689,0
235km-236km,1.54954,1.54954,0
236km-237km,1.49398,1.49398,0
237km-238km,1.43664,1.43664,0
238km-239km,1.43922,1.43922,0
239km-240km,3.73883,3.73883,0
240km-241km,1.29531,1.29531,0
241km-242km,1.25764,1.25764,0
242km-243km,1.263,1.263,0
243km-244km,2.6459,2.6459,0
244km-245km,1.15403,1.15403,0
245km-246km,1.1013,1.1013,0
246km-247km,1.09361,1.09361,0
247km-248km,1.01596,1.01596,0
248km-249km,1.38166,1.38166,0
249km-250km,0.941818,0.941818,0
250km-251km,0.911627,0.911627,0
251km-252km,0.904561,0.904561,0
252km-253km,0.882638,0.882638,0
253km-254km,1.32653,1.32653,0
254km-255km,0.824033,0.824033,0
255km-256km,0.816579,0.816579,0
256km-257km,0.778716,0.778716,0
257km-258km,0.784997,0.784997,0
258km-259km,1.27787,1.27787,0
259km-260km,0.743491,0.743491,0
260km-261km,1.22858,1.22858,0
261km-262km,0.698945,0.698945,0
262km-263km,0.695222,0.695222,0
263km-264km,0.663407,0.663407,0
264km-265km,0.650825,0.650825,0
265km-266km,0.6322,0.6322,0
266km-267km,0.581493,0.581493,0
267km-268km,0.567366,0.567366,0
268km-269km,0.572882,0.572882,0
269km-270km,0.552069,0.552069,0
270km-271km,0.535398,0.535398,0
271km-272km,0.820909,0.820909,0
272km-273km,0.761184,0.761184,0
273km-274km,0.783325,0.783325,0
274km-275km,0.468207,0.468207,0
275km-276km,0.463024,0.463024,0
276km-277km,0.453,0.453,0
277km-278km,0.761981,0.761981,0
278km-279km,0.42329,0.42329,0
279km-280km,0.412069,0.412069,0
280km-281km,0.407542,0.407542,0
281km-282km,0.384911,0.384911,0
282km-283km,0.363708,0.363708,0
283km-284km,0.362035,0.362035,0
284km-285km,0.36986,0.36986,0
285km-286km,0.357822,0.357822,0
286km-287km,0.355463,0.355463,0
287km-288km,0.332637,0.332637,0
288km-289km,0.324035,0.324035,0
289km-290km,0.307362,0.307362,0
290km-291km,0.291083,0.291083,0
291km-292km,0.291752,0.291752,0
292km-293km,0.284514,0.284514,0
293km-294km,0.271213,0.271213,0
294km-295km,0.264527,0.264527,0
295km-296km,0.262952,0.262952,0
296km-297km,0.262165,0.262165,0
297km-298km,0.252271,0.252271,0
298km-299km,0.245056,0.245056,0
299km-300km,0.232647,0.232647,0
300km-301km,0.236655,0.236655,0
301km-302km,0.22583,0.22583,0
302km-303km,0.217518,0.217518,0
303km-304km,0.211445,0.211445,0
304km-305km,0.202695,0.202695,0
305km-306km,0.196692,0.196692,0
306km-307km,0.205494,0.205494,0
307km-308km,0.195777,0.195777,0
308km-309km,0.193035,0.193035,0
309km-310km,0.194405,0.194405,0
310km-311km,0.188242,0.188242,0
311km-312km,0.178364,0.178364,0
312km-313km,0.173812,0.173812,0
313km-314km,0.169303,0.169303,0
314km-315km,0.162005,0.162005,0
315km-316km,0.166996,0.166996,0
316km-317km,0.15951,0.15951,0
317km-318km,0.150992,0.150992,0
318km-319km,0.144656,0.144656,0
319km-320km,0.141398,0.141398,0
320km-321km,0.139911,0.139911,0
321km-322km,0.132039,0.132039,0
322km-323km,0.127142,0.127142,0
323km-324km,0.125449,0.125449,0
324km-325km,0.121125,0.121125,0
325km-326km,0.119457,0.119457,0
326km-327km,0.117574,0.117574,0
327km-328km,0.117594,0.117594,0
328km-329km,0.116346,0.116346,0
329km-330km,0.117202,0.117202,0
330km-331km,0.11131,0.11131,0
331km-332km,0.106558,0.106558,0
332km-333km,0.108029,0.108029,0
333km-334km,0.101658,0.101658,0
334km-335km,0.0973364,0.0973364,0
335km-336km,0.1017,0.1017,0
336km-337km,0.0921889,0.0921889,0
337km-338km,0.0866843,0.0866843,0
338km-339km,0.0879042,0.0879042,0
339km-340km,0.0895057,0.0895057,0
340km-341km,0.0865887,0.0865887,0
341km-342km,0.0817611,0.0817611,0
342km-343km,0.0808206,0.0808206,0
343km-344km,0.0814505,0.0814505,0
344km-345km,0.0769632,0.0769632,0
345km-346km,0.078813,0.078813,0
346km-347km,0.0762825,0.0762825,0
347km-348km,0.0721729,0.0721729,0
348km-349km,0.0695706,0.0695706,0
349km-350km,0.0652977,0.0652977,0
350km-351km,0.064318,0.064318,0
351km-352km,0.0615994,0.0615994,0
352km-353km,0.0600002,0.0600002,0
353km-354km,0.0633666,0.0633666,0
354km-355km,0.0589984,0.0589984,0
355km-356km,0.0571999,0.0571999,0
356km-357km,0.0549744,0.0549744,0
357km-358km,0.0533199,0.0533199,0
358km-359km,0.0541265,0.0541265,0
359km-360km,0.0510513,0.0510513,0
360km-361km,0.0502522,0.0502522,0
361km-362km,0.0499041,0.0499041,0
362km-363km,0.0507369,0.0507369,0
363km-364km,0.0494216,0.0494216,0
364km-365km,0.0475956,0.0475956,0
365km-366km,0.0457039,0.0457039,0
366km-367km,0.0431723,0.0431723,0
367km-368km,0.0453256,0.0453256,0
368km-369km,0.0449799,0.0449799,0
369km-370km,0.042903,0.042903,0
370km-371km,0.0425383,0.0425383,0
371km-372km,0.0434123,0.0434123,0
372km-373km,0.0401413,0.0401413,0
373km-374km,0.0394411,0.0394411,0
374km-375km,0.0392624,0.0392624,0
375km-376km,0.0389365,0.0389365,0
376km-377km,0.0373629,0.0373629,0
377km-378km,0.0350556,0.0350556,0
378km-379km,0.0361437,0.0361437,0
379km-380km,0.0327844,0.0327844,0
380km-381km,0.0318761,0.0318761,0
381km-382km,0.0307182,0.0307182,0
382km-383km,0.0313294,0.0313294,0
383km-384km,0.030136,0.030136,0
384km-385km,0.029664,0.029664,0
385km-386km,0.0287064,0.0287064,0
386km-387km,0.0273928,0.0273928,0
387km-388km,0.0270913,0.0270913,0
388km-389km,0.0261806,0.0261806,0
389km-390km,0.0257455,0.0257455,0
390km-391km,0.0253733,0.0253733,0
391km-392km,0.0253684,0.0253684,0
392km-393km,0.0269796,0.0269796,0
393km-394km,0.0244287,0.0244287,0
394km-395km,0.024941,0.024941,0
395km-396km,0.0229567,0.0229567,0
396km-397km,0.024046,0.024046,0
397km-398km,0.0216798,0.0216798,0
398km-399km,0.0214691,0.0214691,0
399km-400km,0.0211909,0.0211909,0
400km-401km,0.0213181,0.0213181,0
401km-402km,0.0202256,0.0202256,0
402km-403km,0.0197328,0.0197328,0
403km-404km,0.0189604,0.0189604,0
404km-405km,0.0185446,0.0185446,0
405km-406km,0.0187004,0.0187004,0
406km-407km,0.0179432,0.0179432,0
407km-408km,0.0174867,0.0174867,0
408km-409km,0.0159884,0.0159884,0
409km-410km,0.0159538,0.0159538,0
410km-411km,0.0162636,0.0162636,0
411km-412km,0.0155892,0.0155892,0
412km-413km,0.0158934,0.0158934,0
413km-414km,0.01484,0.01484,0
414km-415km,0.0146758,0.0146758,0
415km-416km,0.0149618,0.0149618,0
416km-417km,0.0135542,0.0135542,0
417km-418km,0.0136623,0.0136623,0
418km-419km,0.0132079,0.0132079,0
419km-420km,0.0131347,0.0131347,0
420km-421km,0.0132424,0.0132424,0
421km-422km,0.0127884,0.0127884,0
422km-423km,0.0125996,0.0125996,0
423km-424km,0.0126204,0.0126204,0
424km-425km,0.0117486,0.0117486,0
425km-426km,0.0123965,0.0123965,0
426km-427km,0.0125394,0.0125394,0
427km-428km,0.0119018,0.0119018,0
428km-429km,0.0111613,0.0111613,0
429km-430km,0.0112923,0.0112923,0
430km-431km,0.0110154,0.0110154,0
431km-432km,0.0102611,0.0102611,0
432km-433km,0.00987574,0.00987574,0
433km-434km,0.00942692,0.00942692,0
434km-435km,0.00949049,0.00949049,0
435km-436km,0.00945763,0.00945763,0
436km-437km,0.00947403,0.00947403,0
437km-438km,0.00906996,0.00906996,0
438km-439km,0.00898345,0.00898345,0
439km-440km,0.00905177,0.00905177,0
440km-441km,0.00868129,0.00868129,0
441km-442km,0.00826399,0.00826399,0
442km-443km,0.00827428,0.00827428,0
443km-444km,0.0086975,0.0086975,0
444km-445km,0.00795742,0.00795742,0
445km-446km,0.00776854,0.00776854,0
446km-447km,0.00811759,0.00811759,0
447km-448km,0.00845833,0.00845833,0
448km-449km,0.00798089,0.00798089,0
449km-450km,0.00775318,0.00775318,0
450km-451km,0.003236,0.003236,0
451km-452km,0.00295979,0.00295979,0
452km-453km,0.00319103,0.00319103,0
453km-454km,0.00294879,0.00294879,0
454km-455km,0.003271,0.003271,0
455km-456km,0.00303478,0.00303478,0
456km-457km,0.00296083,0.00296083,0
457km-458km,0.00285812,0.00285812,0
458km-459km,0.00287974,0.00287974,0
459km-460km,0.00267721,0.00267721,0
460km-461km,0.00272989,0.00272989,0
461km-462km,0.00277863,0.00277863,0
462km-463km,0.00261526,0.00261526,0
463km-464km,0.00215856,0.00215856,0
464km-465km,0.00233345,0.00233345,0
465km-466km,0.00231855,0.00231855,0
466km-467km,0.00217754,0.00217754,0
467km-468km,0.00220249,0.00220249,0
468km-469km,0.00231618,0.00231618,0
469km-470km,0.00225073,0.00225073,0
470km-471km,0.0022472,0.0022472,0
471km-472km,0.00223858,0.00223858,0
472km-473km,0.00222788,0.00222788,0
473km-474km,0.00249886,0.00249886,0
474km-475km,0.0021798,0.0021798,0
475km-476km,0.0019359,0.0019359,0
476km-477km,0.00217377,0.00217377,0
477km-478km,0.00192252,0.00192252,0
478km-479km,0.00185951,0.00185951,0
479km-480km,0.00182337,0.00182337,0
480km-481km,0.00177286,0.00177286,0
481km-482km,0.00167141,0.00167141,0
482km-483km,0.00173114,0.00173114,0
483km-484km,0.00155778,0.00155778,0
484km-485km,0.00169408,0.00169408,0
485km-486km,0.0017587,0.0017587,0
486km-487km,0.00192194,0.00192194,0
487km-488km,0.00151674,0.00151674,0
488km-489km,0.00210015,0.00210015,0
489km-490km,0.00192232,0.00192232,0
490km-491km,0.00176219,0.00176219,0
491km-492km,0.00139566,0.00139566,0
492km-493km,0.00130856,0.00130856,0
493km-494km,0.00135204,0.00135204,0
494km-495km,0.00146782,0.00146782,0
495km-496km,0.00163991,0.00163991,0
496km-497km,0.00145161,0.00145161,0
497km-498km,0.00141555,0.00141555,0
498km-499km,0.00139753,0.00139753,0
499km-500km,0.00131076,0.00131076,0
500km-501km,0.00143859,0.00143859,0
501km-502km,0.00156405,0.00156405,0
502km-503km,0.00145144,0.00145144,0
503km-504km,0.00134732,0.00134732,0
504km-505km,0.00127775,0.00127775,0
505km-506km,0.00133995,0.00133995,0
506km-507km,0.00139455,0.00139455,0
507km-508km,0.00124156,0.00124156,0
508km-509km,0.00116282,0.00116282,0
509km-510km,0.00119433,0.00119433,0
510km-511km,0.00133076,0.00133076,0
511km-512km,0.00114855,0.00114855,0
512km-513km,0.00113212,0.00113212,0
513km-514km,0.00104416,0.00104416,0
514km-515km,0.00104427,0.00104427,0
515km-516km,0.000855183,0.000855183,0
516km-517km,0.000886154,0.000886154,0
517km-518km,0.000923935,0.000923935,0
518km-519km,0.000985551,0.000985551,0
519km-520km,0.00127738,0.00127738,0
520km-521km,0.000933745,0.000933745,0
521km-522km,0.000828802,0.000828802,0
522km-523km,0.000925529,0.000925529,0
523km-524km,0.000884593,0.000884593,0
524km-525km,0.000976633,0.000976633,0
525km-526km,0.000911644,0.000911644,0
526km-527km,0.000878102,0.000878102,0
527km-528km,0.00102285,0.00102285,0
528km-529km,0.000932275,0.000932275,0
529km-530km,0.000851455,0.000851455,0
530km-531km,0.000789913,0.000789913,0
531km-532km,0.000853731,0.000853731,0
532km-533km,0.000901123,0.000901123,0
533km-534km,0.00102932,0.00102932,0
534km-535km,0.00121747,0.00121747,0
535km-536km,0.000948171,0.000948171,0
536km-537km,0.000984642,0.000984642,0
537km-538km,0.000830766,0.000830766,0
538km-539km,0.000772215,0.000772215,0
539km-540km,0.000755999,0.000755999,0
540km-541km,0.000636398,0.000636398,0
541km-542km,0.000670439,0.000670439,0
542km-543km,0.000874762,0.000874762,0
543km-544km,0.000815229,0.000815229,0
544km-545km,0.000756532,0.000756532,0
545km-546km,0.000663684,0.000663684,0
546km-547km,0.000684582,0.000684582,0
547km-548km,0.000793965,0.000793965,0
548km-549km,0.000662424,0.000662424,0
549km-550km,0.000784197,0.000784197,0
550km-551km,0.000779784,0.000779784,0
551km-552km,0.000785063,0.000785063,0
552km-553km,0.000645102,0.000645102,0
553km-554km,0.000606024,0.000606024,0
554km-555km,0.00053291,0.00053291,0
555km-556km,0.000619242,0.000619242,0
556km-557km,0.00058233,0.00058233,0
557km-558km,0.000602913,0.000602913,0
558km-559km,0.000592451,0.000592451,0
559km-560km,0.000531351,0.000531351,0
560km-561km,0.000530459,0.000530459,0
561km-562km,0.000586722,0.000586722,0
562km-563km,0.000645165,0.000645165,0
563km-564km,0.000624534,0.000624534,0
564km-565km,0.000516347,0.000516347,0
565km-566km,0.00046459,0.00046459,0
566km-567km,0.000553909,0.000553909,0
567km-568km,0.000472778,0.000472778,0
568km-569km,0.00049384,0.00049384,0
569km-570km,0.000503183,0.000503183,0
570km-571km,0.000455744,0.000455744,0
571km-572km,0.000430863,0.000430863,0
572km-573km,0.000417453,0.000417453,0
573km-574km,0.000494042,0.000494042,0
574km-575km,0.000465369,0.000465369,0
575km-576km,0.000426832,0.000426832,0
576km-577km,0.000432142,0.000432142,0
577km-578km,0.000409499,0.000409499,0
578km-579km,0.000463247,0.000463247,0
579km-580km,0.000404669,0.000404669,0
580km-581km,0.000407056,0.000407056,0
581km-582km,0.000438025,0.000438025,0
582km-583km,0.00043153,0.00043153,0
583km-584km,0.000479219,0.000479219,0
584km-585km,0.000404638,0.000404638,0
585km-586km,0.00044888,0.00044888,0
586km-587km,0.000419425,0.000419425,0
587km-588km,0.000394774,0.000394774,0
588km-589km,0.000386341,0.000386341,0
589km-590km,0.000396666,0.000396666,0
590km-591km,0.000381241,0.000381241,0
591km-592km,0.000406595,0.000406595,0
592km-593km,0.00037259,0.00037259,0
593km-594km,0.000293256,0.000293256,0
594km-595km,0.000301151,0.000301151,0
595km-596km,0.000303509,0.000303509,0
596km-597km,0.000337355,0.000337355,0
597km-598km,0.000385129,0.000385129,0
598km-599km,0.000334501,0.000334501,0
599km-600km,0.000423369,0.000423369,0
600km-601km,0.000442627,0.000442627,0
601km-602km,0.000402503,0.000402503,0
602km-603km,0.000393414,0.000393414,0
603km-604km,0.00038341,0.00038341,0
604km-605km,0.000370761,0.000370761,0
605km-606km,0.000349967,0.000349967,0
606km-607km,0.000358438,0.000358438,0
607km-608km,0.000320757,0.000320757,0
608km-609km,0.00036233,0.00036233,0
609km-610km,0.000370512,0.000370512,0
610km-611km,0.000368859,0.000368859,0
611km-612km,0.000385686,0.000385686,0
612km-613km,0.000356521,0.000356521,0
613km-614km,0.000403643,0.000403643,0
614km-615km,0.000303289,0.000303289,0
615km-616km,0.000323464,0.000323464,0
616km-617km,0.00039434,0.00039434,0
617km-618km,0.000317419,0.000317419,0
618km-619km,0.000320773,0.000320773,0
619km-620km,0.000312784,0.000312784,0
620km-621km,0.000286838,0.000286838,0
621km-622km,0.00030114,0.00030114,0
622km-623km,0.000309206,0.000309206,0
623km-624km,0.000348098,0.000348098,0
624km-625km,0.000326541,0.000326541,0
625km-626km,0.000296131,0.000296131,0
626km-627km,0.000303688,0.000303688,0
627km-628km,0.000291396,0.000291396,0
628km-629km,0.000214416,0.000214416,0
629km-630km,0.000245079,0.000245079,0
630km-631km,0.000235349,0.000235349,0
631km-632km,0.000295141,0.000295141,0
632km-633km,0.000257156,0.000257156,0
633km-634km,0.000238351,0.000238351,0
634km-635km,0.000276294,0.000276294,0
635km-636km,0.000320582,0.000320582,0
636km-637km,0.000280156,0.000280156,0
637km-638km,0.00029536,0.00029536,0
638km-639km,0.000266486,0.000266486,0
639km-640km,0.000294553,0.000294553,0
640km-641km,0.000249708,0.000249708,0
641km-642km,0.000278476,0.000278476,0
642km-643km,0.000269256,0.000269256,0
643km-644km,0.000261752,0.000261752,0
644km-645km,0.000274825,0.000274825,0
645km-646km,0.000296006,0.000296006,0
646km-647km,0.000250952,0.000250952,0
647km-648km,0.000307595,0.000307595,0
648km-649km,0.000314169,0.000314169,0
649km-650km,0.000318157,0.000318157,0
650km-651km,0.000262124,0.000262124,0
651km-652km,0.000273572,0.000273572,0
652km-653km,0.000315894,0.000315894,0
653km-654km,0.000299397,0.000299397,0
654km-655km,0.000252212,0.000252212,0
655km-656km,0.000264883,0.000264883,0
656km-657km,0.000238959,0.000238959,0
657km-658km,0.000324274,0.000324274,0
658km-659km,0.000263721,0.000263721,0
659km-660km,0.00024441,0.00024441,0
660km-661km,0.000276095,0.000276095,0
661km-662km,0.000266875,0.000266875,0
662km-663km,0.000257461,0.000257461,0
663km-664km,0.000250354,0.000250354,0
664km-665km,0.000229711,0.000229711,0
665km-666km,0.000211772,0.000211772,0
666km-667km,0.000281658,0.000281658,0
667km-668km,0.000215699,0.000215699,0
668km-669km,0.000231748,0.000231748,0
669km-670km,0.000261489,0.000261489,0
670km-671km,0.000262421,0.000262421,0
671km-672km,0.000242623,0.000242623,0
672km-673km,0.0002625,0.0002625,0
673km-674km,0.000263475,0.000263475,0
674km-675km,0.000245914,0.000245914,0
675km-676km,0.000228371,0.000228371,0
676km-677km,0.000228653,0.000228653,0
677km-678km,0.000196299,0.000196299,0
678km-679km,0.000207019,0.000207019,0
679km-680km,0.000184215,0.000184215,0
680km-681km,0.000180846,0.000180846,0
681km-682km,0.000208168,0.000208168,0
682km-683km,0.0001948,0.0001948,0
683km-684km,0.000223554,0.000223554,0
684km-685km,0.000204619,0.000204619,0
685km-686km,0.000213538,0.000213538,0
686km-687km,0.000206256,0.000206256,0
687km-688km,0.000235544,0.000235544,0
688km-689km,0.000202421,0.000202421,0
689km-690km,0.000198154,0.000198154,0
690km-691km,0.000180979,0.000180979,0
691km-692km,0.000215081,0.000215081,0
692km-693km,0.000262336,0.000262336,0
693km-694km,0.000192548,0.000192548,0
694km-695km,0.000174862,0.000174862,0
695km-696km,0.000172787,0.000172787,0
696km-697km,0.000187384,0.000187384,0
697km-698km,0.000175647,0.000175647,0
698km-699km,0.000191233,0.000191233,0
699km-700km,0.000186301,0.000186301,0
700km-701km,0.000198496,0.000198496,0
701km-702km,0.000161173,0.000161173,0
702km-703km,0.000173824,0.000173824,0
703km-704km,0.000191066,0.000191066,0
704km-705km,0.00017285,0.00017285,0
705km-706km,0.00017848,0.00017848,0
706km-707km,0.000169425,0.000169425,0
707km-708km,0.000182892,0.000182892,0
708km-709km,0.00017712,0.00017712,0
709km-710km,0.000170134,0.000170134,0
710km-711km,0.000172564,0.000172564,0
711km-712km,0.000164514,0.000164514,0
712km-713km,0.000206422,0.000206422,0
713km-714km,0.000206805,0.000206805,0
714km-715km,0.000199231,0.000199231,0
715km-716km,0.000163003,0.000163003,0
716km-717km,0.000165948,0.000165948,0
717km-718km,0.0001545,0.0001545,0
718km-719km,0.00014215,0.00014215,0
719km-720km,0.000143308,0.000143308,0
720km-721km,0.00018134,0.00018134,0
721km-722km,0.000167325,0.000167325,0
722km-723km,0.000159627,0.000159627,0
723km-724km,0.00014906,0.00014906,0
724km-725km,0.00017047,0.00017047,0
725km-726km,0.000203975,0.000203975,0
726km-727km,0.000181584,0.000181584,0
727km-728km,0.000202154,0.000202154,0
728km-729km,0.000175316,0.000175316,0
729km-730km,0.000159827,0.000159827,0
730km-731km,0.000167253,0.000167253,0
731km-732km,0.000170533,0.000170533,0
