Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
e-,1,3.80885,146.94,-0.095799,-0.479072,0.872533,114.924,-28.027,451000
e-,1,10.5112,112.822,0.67817,-0.684767,0.266793,278.126,12.9616,451000
e-,1,13.2629,117.831,0.0922891,-0.883003,0.460205,189.491,36.5678,451000
e-,1,12.3913,156.195,-0.195283,0.153729,0.968624,117.355,-28.863,451000
e-,1,1.06469,135.931,-0.166296,-0.621865,0.765265,156.617,-64.5756,451000
e-,1,7.15104,98.6889,-0.866874,-0.381245,0.321219,258.895,198.217,451000
e-,1,11.5001,167.309,0.375298,-0.109986,0.920356,108.973,9.02054,451000
e-,1,3.83714,119.582,-0.0821897,-0.849682,0.520851,195.492,-19.2058,451000
e-,1,1.50242,125.576,-0.58993,-0.390644,0.706668,252.526,-34.519,451000
e-,1,5.77511,151.153,0.0516046,-0.465943,0.883309,-35.93,53.1911,451000
e-,1,11.3979,120.267,-0.548782,0.565225,0.615922,137.458,-22.0519,451000
e-,1,10.8356,142.437,-0.25464,0.452392,0.854693,132.258,-42.3501,451000
e-,1,5.58869,163.858,0.0749172,-0.253457,0.964441,196.773,-13.8658,451000
e-,1,8.56162,103.326,-0.837064,-0.377169,0.396318,144.177,-48.0901,451000
e-,1,4.79055,159.841,-0.109977,-0.18022,0.977459,128.364,-17.2608,451000
e-,1,6.62564,136.74,-0.447999,0.340905,0.826487,196.775,79.842,451000
e-,1,12.4444,116.689,0.940277,0.198686,0.276412,169.533,43.0449,451000
e-,1,11.0867,132.345,0.611069,-0.549047,0.570212,292.574,-14.8682,451000
e-,1,3.32263,109.397,0.193229,0.934659,0.298456,-152.166,15.8298,451000
e-,1,12.971,135.123,0.720529,0.376576,0.582261,204.606,26.9712,451000
e-,1,7.05392,126.572,-0.510636,0.495216,0.70286,226.526,62.6528,451000
